Building,Usage Level,Orientation,Eaves,Door Area,Overhangs,Interior Shading,Doors,Hot Water Fixtures,Solar Hot Water,Dehumidifier,Refrigeration Schedule,Lighting Interior Use,Lighting Other Use,Holiday Lighting,Plug Load Diversity,Electric Vehicle,Misc Gas Fireplace,Misc Gas Grill,Misc Gas Lighting,Misc Pool Schedule,Misc Well Pump,Natural Ventilation,Mechanical Ventilation,Bathroom Spot Vent Hour,Range Spot Vent Hour,PV,ASHRAE IECC Climate Zone 2004,County,AHS Region,State,Location Region,Census Division,Census Division RECS,Census Region,ISO RTO Region,Building America Climate Zone,PUMA,Geometry Building Type ACS,Vintage,Vintage ACS,Geometry Building Type RECS,Heating Fuel,Geometry Building Number Units HL,Geometry Foundation Type,Geometry Wall Type,Geometry Floor Area,Geometry Floor Area Bin,Geometry Stories,Geometry Building Number Units MF,Geometry Building Number Units SFA,Geometry Garage,Bedrooms,Corridor,Geometry Building Has Rear Units MF,Occupants,Vacancy Status,Window Areas,Neighbors,Insulation Unfinished Attic,Insulation Finished Roof,Radiant Barrier,Roof Material Unfinished Attic,Roof Material Finished Roof,Insulation Slab,Insulation Crawlspace,Insulation Unfinished Basement,Insulation Finished Basement,Insulation Pier Beam,Insulation Interzonal Floor,Insulation Wall,Windows,Water Heater In Unit,Water Heater Fuel,Water Heater Efficiency,Hot Water Distribution,HVAC Heating Type,HVAC Cooling Type,HVAC Has Shared System,HVAC Shared Efficiencies,HVAC Heating Efficiency,HVAC Heating Type And Fuel,HVAC Cooling Efficiency,Heating Setpoint,Cooling Setpoint,Heating Setpoint Has Offset,Cooling Setpoint Has Offset,Heating Setpoint Offset Magnitude,Cooling Setpoint Offset Magnitude,Cooling Setpoint Offset Period,Heating Setpoint Offset Period,Ceiling Fan,Refrigerator,Cooking Range,Dishwasher,Clothes Washer Presence,Clothes Washer,Clothes Dryer,Lighting,Plug Loads,Misc Extra Refrigerator,Misc Freezer,Misc Hot Tub Spa,Misc Pool,Misc Pool Heater,Misc Pool Pump,HVAC Has Ducts,Ducts,Infiltration
78,Medium,West,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,100% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,National Average,Typical Efficiency,"Year-Round, 3 days/wk",None,Hour23,Hour16,None,5A,"NJ, Somerset County","CBSA New York-Newark-Jersey City, NY-NJ-PA",NJ,CR07,Middle Atlantic,Middle Atlantic,Northeast,PJM,Cold,"NJ, 01003",2 Unit,<1940,<1940,Multi-Family with 2 - 4 Units,Natural Gas,<5,Unheated Basement,Masonry,1500-1999,1500-2499,1,2,None,None,2,Double-Loaded Interior,Yes,1,Occupied,F9 B9 L9 R9,12,None,R-13,None,None,Composition Shingles,None,None,Uninsulated,None,None,Uninsulated,"Brick, 12-in, 3-wythe, Uninsulated",1 Pane,No,Natural Gas,Natural Gas Standard,"Uninsulated, TrunkBranch, Copper",Ducted Heating,Central AC,Heating and Cooling,"Fan Coil Heating and Cooling, Natural Gas",Shared Heating,Natural Gas Shared Heating,Shared Cooling,70F,67F,Yes,No,12F,0F,None,Night +2h,None,EF 15.9,"Gas, 100% Usage",None,None,None,None,100% CFL,119%,None,"EF 12, National Average",None,None,None,None,Yes,"10% Leakage, Uninsulated",20 ACH50
79,High,East,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,200% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,200%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour0,Hour14,None,2A,"FL, Duval County",Non-CBSA South Atlantic,FL,CR09,South Atlantic,South Atlantic,South,None,Hot-Humid,"FL, 03105",10 to 19 Unit,2000s,2000-09,Multi-Family with 5+ Units,Electricity,10 to 19 Units high,Slab,WoodStud,1500-1999,1500-2499,3,15,None,None,2,Double-Loaded Interior,No,1,Occupied,F30 B30 L30 R30,27,None,R-30,None,None,"Asphalt Shingles, Medium","2ft R10 Perimeter, R10 Gap",None,None,None,None,R-13,"Wood Stud, R-11",2+ Pane,Yes,Electricity,Electric Standard,"Uninsulated, HomeRun, PEX",Ducted Heating,Central AC,Heating and Cooling,"Fan Coil Heating and Cooling, Electricity",Shared Heating,Electricity Shared Heating,Shared Cooling,68F,70F,Yes,Yes,6F,2F,Day Setup +4h,Day +3h,Standard Efficiency,EF 17.6,"Electric, 120% Usage","318 Rated kWh, 120% Usage",Yes,"Standard, 120% Usage","Electric, 120% Usage",100% CFL,106%,None,None,None,None,None,None,Yes,"30% Leakage, R-8",15 ACH50
80,High,East,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,200% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,200%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour18,Hour14,None,3B,"CA, Los Angeles County","CBSA Los Angeles-Long Beach-Anaheim, CA",CA,CR11,Pacific,Pacific,West,None,Hot-Dry,"CA, 03730",5 to 9 Unit,<1940,<1940,Multi-Family with 5+ Units,Natural Gas,5 to 9 Units low,Crawl,Masonry,500-749,0-1499,3,9,None,None,1,Double-Loaded Interior,No,1,Occupied,F18 B18 L18 R18,27,None,R-38,None,None,"Asphalt Shingles, Medium",None,"Uninsulated, Vented",None,None,None,Uninsulated,"Brick, 12-in, 3-wythe, Uninsulated",1 Pane,No,Natural Gas,Natural Gas Standard,"Uninsulated, TrunkBranch, Copper",Ducted Heating,Central AC,Heating and Cooling,"Fan Coil Heating and Cooling, Natural Gas",Shared Heating,Natural Gas Shared Heating,Shared Cooling,65F,67F,Yes,Yes,6F,9F,Night Setup -3h,Night +3h,Standard Efficiency,EF 15.9,"Gas, 120% Usage","290 Rated kWh, 120% Usage",None,None,None,100% LED,93%,EF 17.6,None,None,None,None,None,Yes,"20% Leakage, Uninsulated",15 ACH50
81,Medium,West,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,100% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour20,Hour17,None,3A,"OK, Cleveland County",Non-CBSA West South Central,OK,CR09,West South Central,West South Central,South,SPP,Mixed-Humid,"OK, 00900",5 to 9 Unit,1980s,1980-99,Multi-Family with 5+ Units,Electricity,5 to 9 Units low,Slab,WoodStud,1000-1499,0-1499,2,6,None,None,1,Double-Loaded Interior,No,1,Occupied,F18 B18 L18 R18,None,None,R-13,None,None,"Asphalt Shingles, Medium","2ft R5 Perimeter, R5 Gap",None,None,None,None,Uninsulated,"Wood Stud, R-11",1 Pane,Yes,Electricity,Electric Standard,"Uninsulated, TrunkBranch, Copper",Ducted Heating,Central AC,Heating and Cooling,"Fan Coil Heating and Cooling, Electricity",Shared Heating,Electricity Shared Heating,Shared Cooling,75F,76F,Yes,No,3F,0F,None,Day and Night +5h,Standard Efficiency,EF 17.6,"Electric, 100% Usage","318 Rated kWh, 100% Usage",Yes,"EnergyStar, 100% Usage","Electric, 100% Usage",100% Incandescent,104%,None,None,None,None,None,None,Yes,"30% Leakage, R-4",10 ACH50
82,Medium,South,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,100% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,Gas Lighting,National Average,None,"Year-Round, 3 days/wk",None,Hour21,Hour11,None,4A,"MD, Frederick County","CBSA Washington-Arlington-Alexandria, DC-VA-MD-WV",MD,CR08,South Atlantic,South Atlantic,South,PJM,Mixed-Humid,"MD, 00302",10 to 19 Unit,1990s,1980-99,Multi-Family with 5+ Units,Electricity,10 to 19 Units low,Crawl,Masonry,750-999,0-1499,2,12,None,None,1,Double-Loaded Interior,Yes,1,Occupied,F15 B15 L15 R15,None,None,R-30,None,None,"Asphalt Shingles, Medium",None,"Wall R-10, Unvented",None,None,None,R-19,"CMU, 6-in Hollow, R-15",2+ Pane,Yes,Electricity,Electric Standard,"Uninsulated, TrunkBranch, Copper",Ducted Heating,Central AC,Heating and Cooling,"Fan Coil Heating and Cooling, Electricity",Shared Heating,Electricity Shared Heating,Shared Cooling,70F,67F,No,No,0F,0F,None,None,Standard Efficiency,EF 15.9,"Electric, 100% Usage","318 Rated kWh, 100% Usage",Yes,"EnergyStar, 100% Usage","Electric, 100% Usage",100% Incandescent,106%,None,None,None,None,None,None,Yes,"10% Leakage, Uninsulated",10 ACH50
83,Low,West,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,50% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,50%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour3,Hour17,None,2A,"FL, Marion County",Non-CBSA South Atlantic,FL,CR09,South Atlantic,South Atlantic,South,None,Hot-Humid,"FL, 08303",5 to 9 Unit,1980s,1980-99,Multi-Family with 5+ Units,Electricity,5 to 9 Units low,Slab,Masonry,750-999,0-1499,3,9,None,None,1,Double-Loaded Interior,No,1,Occupied,F12 B12 L12 R12,7,None,R-30,None,None,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,Uninsulated,"CMU, 6-in Hollow, R-11",1 Pane,Yes,Electricity,Electric Standard,"Uninsulated, TrunkBranch, Copper",Non-Ducted Heating,Central AC,Heating and Cooling,"Fan Coil Heating and Cooling, Electricity",Shared Heating,Electricity Shared Heating,Shared Cooling,70F,72F,No,Yes,0F,5F,Day Setup +5h,None,Standard Efficiency,EF 17.6,"Electric, 80% Usage",None,Yes,"EnergyStar, 80% Usage","Electric, 80% Usage",100% CFL,106%,EF 17.6,None,None,None,None,None,Yes,"20% Leakage, R-4",20 ACH50
84,Medium,Northwest,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,100% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour20,Hour22,None,5A,"MI, Oakland County","CBSA Detroit-Warren-Dearborn, MI",MI,CR04,East North Central,East North Central,Midwest,MISO,Cold,"MI, 02907",5 to 9 Unit,1970s,1960-79,Multi-Family with 5+ Units,Natural Gas,5 to 9 Units low,Unheated Basement,Masonry,500-749,0-1499,1,6,None,None,1,Double-Loaded Interior,Yes,1,Occupied,F15 B15 L15 R15,12,None,R-30,None,None,"Asphalt Shingles, Medium",None,None,Uninsulated,None,None,Uninsulated,"CMU, 6-in Hollow, R-7",1 Pane,No,Natural Gas,Natural Gas Standard,"Uninsulated, TrunkBranch, Copper",Ducted Heating,Central AC,Heating and Cooling,"Fan Coil Heating and Cooling, Natural Gas",Shared Heating,Natural Gas Shared Heating,Shared Cooling,68F,68F,No,No,0F,0F,None,None,Standard Efficiency,EF 15.9,"Electric, 100% Usage",None,None,None,None,100% LED,89%,None,None,None,None,None,None,Yes,"10% Leakage, Uninsulated",15 ACH50
85,Low,North,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,50% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,50%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour5,Hour18,None,4C,"WA, Thurston County",Non-CBSA Pacific,WA,CR06,Pacific,Pacific,West,None,Marine,"WA, 11401",5 to 9 Unit,1990s,1980-99,Multi-Family with 5+ Units,Electricity,5 to 9 Units low,Crawl,WoodStud,1000-1499,0-1499,3,6,None,None,3,Double-Loaded Interior,Yes,2,Occupied,F18 B18 L18 R18,4,None,R-38,None,None,"Asphalt Shingles, Medium",None,"Ceiling R-19, Vented",None,None,None,Uninsulated,"Wood Stud, R-19",2+ Pane,No,Electricity,Electric Standard,"Uninsulated, TrunkBranch, Copper",Ducted Heat Pump,Heat Pump,Heating and Cooling,"Fan Coil Heating and Cooling, Electricity",Shared Heating,Electricity Shared Heating,Shared Cooling,60F,68F,No,Yes,0F,2F,Night Setback,None,Standard Efficiency,EF 15.9,"Electric, 80% Usage","318 Rated kWh, 80% Usage",None,None,None,100% CFL,93%,None,None,None,None,None,None,Yes,"20% Leakage, Uninsulated",15 ACH50
86,Low,South,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,50% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,50%,None,None,None,None,National Average,Typical Efficiency,"Year-Round, 3 days/wk",None,Hour8,Hour20,None,4C,"WA, Clark County",Non-CBSA Pacific,WA,CR06,Pacific,Pacific,West,None,Marine,"WA, 11101",2 Unit,1970s,1960-79,Multi-Family with 2 - 4 Units,Electricity,<5,Crawl,WoodStud,500-749,0-1499,1,2,None,None,1,Double-Loaded Interior,Yes,1,Occupied,F9 B9 L9 R9,12,None,R-38,None,None,Composition Shingles,None,"Uninsulated, Vented",None,None,None,Uninsulated,"Wood Stud, Uninsulated",2+ Pane,Yes,Electricity,Electric Standard,"Uninsulated, TrunkBranch, Copper",Non-Ducted Heating,None,Heating Only,"Boiler Baseboards Heating Only, Electricity",Shared Heating,Electricity Shared Heating,None,70F,67F,Yes,Yes,12F,5F,Night Setback,Night -5h,Standard Efficiency,EF 15.9,"Electric, 80% Usage",None,Yes,"EnergyStar, 80% Usage","Electric, 80% Usage",100% CFL,102%,None,None,None,None,None,None,No,None,20 ACH50
87,High,East,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,200% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,200%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour19,Hour20,None,5A,"NY, Onondaga County",Non-CBSA Middle Atlantic,NY,CR07,Middle Atlantic,Middle Atlantic,Northeast,NYISO,Cold,"NY, 00703",5 to 9 Unit,1970s,1960-79,Multi-Family with 5+ Units,Electricity,5 to 9 Units low,Slab,WoodStud,750-999,0-1499,2,8,None,None,2,Double-Loaded Interior,Yes,1,Occupied,F12 B12 L12 R12,12,None,R-38,None,None,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,Uninsulated,"Wood Stud, R-7",1 Pane,Yes,Electricity,Electric Premium,"Uninsulated, TrunkBranch, Copper",Non-Ducted Heating,Room AC,Heating Only,"Boiler Baseboards Heating Only, Electricity",Shared Heating,Electricity Shared Heating,"Room AC, EER 12.0",72F,62F,Yes,No,6F,0F,None,Day +4h,Standard Efficiency,EF 15.9,"Electric, 120% Usage",None,None,None,None,100% CFL,89%,None,None,None,None,None,None,No,None,50 ACH50
88,Medium,West,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,100% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,100%,None,Gas Fireplace,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour22,Hour16,None,4A,"MO, St. Charles County",Non-CBSA West North Central,MO,CR08,West North Central,West North Central,Midwest,MISO,Mixed-Humid,"MO, 01703",10 to 19 Unit,1980s,1980-99,Multi-Family with 5+ Units,Electricity,10 to 19 Units low,Slab,Masonry,500-749,0-1499,3,12,None,None,1,Double-Loaded Interior,Yes,1,Occupied,F18 B18 L18 R18,4,None,R-38,None,None,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,R-19,"CMU, 6-in Hollow, R-11",2+ Pane,Yes,Electricity,Electric Premium,"Uninsulated, TrunkBranch, Copper",Ducted Heating,Central AC,Heating and Cooling,"Fan Coil Heating and Cooling, Electricity",Shared Heating,Electricity Shared Heating,Shared Cooling,65F,68F,No,Yes,0F,5F,Day Setup -2h,None,Standard Efficiency,EF 17.6,"Electric, 100% Usage",None,Yes,"EnergyStar, 100% Usage","Electric, 100% Usage",100% Incandescent,86%,None,None,None,None,None,None,Yes,"20% Leakage, R-4",30 ACH50
89,Medium,South,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,100% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour6,Hour16,None,4A,"KS, Sedgwick County",Non-CBSA West North Central,KS,CR08,West North Central,West North Central,Midwest,SPP,Mixed-Humid,"KS, 01304",10 to 19 Unit,2000s,2000-09,Multi-Family with 5+ Units,Electricity,10 to 19 Units low,Slab,WoodStud,500-749,0-1499,2,12,None,None,1,Double-Loaded Interior,Yes,1,Occupied,F30 B30 L30 R30,12,None,R-19,None,None,"Asphalt Shingles, Medium","2ft R5 Perimeter, R5 Gap",None,None,None,None,R-19,"Wood Stud, R-11",2+ Pane,Yes,Electricity,Electric Standard,"Uninsulated, HomeRun, PEX",Ducted Heating,Central AC,Heating and Cooling,"Fan Coil Heating and Cooling, Electricity",Shared Heating,Electricity Shared Heating,Shared Cooling,68F,75F,Yes,Yes,3F,5F,Night Setback -1h,Day -5h,Standard Efficiency,EF 15.9,"Electric, 100% Usage","318 Rated kWh, 100% Usage",None,None,None,100% Incandescent,86%,None,None,None,None,None,None,Yes,"20% Leakage, R-8",10 ACH50
90,High,East,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,200% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,200%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour12,Hour20,None,3A,"NC, Mecklenburg County",Non-CBSA South Atlantic,NC,CR09,South Atlantic,South Atlantic,South,None,Mixed-Humid,"NC, 03106",10 to 19 Unit,1990s,1980-99,Multi-Family with 5+ Units,Electricity,10 to 19 Units low,Slab,Masonry,1000-1499,0-1499,2,12,None,None,2,Double-Loaded Interior,Yes,1,Occupied,F12 B12 L12 R12,12,None,R-30,None,None,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,Uninsulated,"CMU, 6-in Hollow, R-19",1 Pane,Yes,Electricity,Electric Standard,"Uninsulated, TrunkBranch, Copper",Ducted Heating,Central AC,Heating and Cooling,"Fan Coil Heating and Cooling, Electricity",Shared Heating,Electricity Shared Heating,Shared Cooling,72F,65F,No,No,0F,0F,None,None,None,EF 15.9,"Electric, 120% Usage",None,None,None,None,100% Incandescent,106%,None,None,None,None,None,None,Yes,"10% Leakage, R-4",15 ACH50
91,Medium,Southeast,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,100% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour21,Hour15,None,2B,"AZ, Maricopa County","CBSA Phoenix-Mesa-Scottsdale, AZ",AZ,CR10,Mountain,Mountain South,West,None,Hot-Dry,"AZ, 00110",50 or more Unit,1970s,1960-79,Multi-Family with 5+ Units,Electricity,50 or more Units low,Slab,Masonry,750-999,0-1499,2,54,None,None,2,Double-Loaded Interior,No,1,Occupied,F6 B6 L6 R6,27,None,R-19,None,None,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,Uninsulated,"CMU, 6-in Hollow, R-7",1 Pane,Yes,Electricity,Electric Standard,"Uninsulated, TrunkBranch, Copper",Ducted Heating,Central AC,Heating and Cooling,"Fan Coil Heating and Cooling, Electricity",Shared Heating,Electricity Shared Heating,Shared Cooling,65F,65F,No,No,0F,0F,None,None,Standard Efficiency,EF 17.6,"Electric, 100% Usage","290 Rated kWh, 100% Usage",None,None,None,100% CFL,106%,None,None,None,None,None,None,Yes,"20% Leakage, R-4",15 ACH50
92,Medium,West,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,100% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour22,Hour7,None,5A,"PA, Berks County",Non-CBSA Middle Atlantic,PA,CR07,Middle Atlantic,Middle Atlantic,Northeast,PJM,Cold,"PA, 02703",2 Unit,<1940,<1940,Multi-Family with 2 - 4 Units,Fuel Oil,<5,Unheated Basement,Masonry,750-999,0-1499,1,2,None,None,2,Double-Loaded Interior,Yes,1,Occupied,F30 B30 L30 R30,27,None,R-38,None,None,Composition Shingles,None,None,Uninsulated,None,None,Uninsulated,"Brick, 12-in, 3-wythe, Uninsulated",1 Pane,Yes,Natural Gas,Natural Gas Standard,"Uninsulated, TrunkBranch, Copper",Ducted Heating,None,Heating Only,"Boiler Baseboards Heating Only, Fuel Oil",Shared Heating,Fuel Oil Shared Heating,None,65F,68F,No,No,0F,0F,None,None,None,EF 17.6,"Electric, 100% Usage",None,None,None,None,100% Incandescent,119%,None,None,None,None,None,None,Yes,"20% Leakage, Uninsulated",50 ACH50
93,High,East,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,200% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,200%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour21,Hour12,None,3B,"CA, Los Angeles County","CBSA Los Angeles-Long Beach-Anaheim, CA",CA,CR11,Pacific,Pacific,West,None,Hot-Dry,"CA, 03735",20 to 49 Unit,1980s,1980-99,Multi-Family with 5+ Units,Electricity,20 to 49 Units low,Slab,Masonry,1000-1499,0-1499,2,20,None,None,2,Double-Loaded Interior,Yes,1,Occupied,F12 B12 L12 R12,4,None,R-38,None,None,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,R-19,"CMU, 6-in Hollow, R-11",2+ Pane,No,Electricity,Electric Standard,"Uninsulated, TrunkBranch, Copper",Ducted Heating,Central AC,Heating and Cooling,"Fan Coil Heating and Cooling, Electricity",Shared Heating,Electricity Shared Heating,Shared Cooling,70F,72F,Yes,Yes,6F,2F,Day Setup -3h,Night -5h,Standard Efficiency,EF 17.6,"Electric, 120% Usage",None,None,None,None,100% CFL,93%,None,None,None,None,None,None,Yes,"20% Leakage, R-4",15 ACH50
94,Medium,South,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,100% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour4,Hour22,None,3C,"CA, Santa Barbara County",Non-CBSA Pacific,CA,CR11,Pacific,Pacific,West,CAISO,Marine,"CA, 08303",5 to 9 Unit,1970s,1960-79,Multi-Family with 5+ Units,Electricity,5 to 9 Units low,Slab,Masonry,750-999,0-1499,3,6,None,None,1,Double-Loaded Interior,Yes,1,Occupied,F12 B12 L12 R12,None,None,R-19,None,None,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,Uninsulated,"CMU, 6-in Hollow, Uninsulated",1 Pane,No,Natural Gas,Natural Gas Standard,"Uninsulated, TrunkBranch, Copper",Ducted Heating,None,Heating and Cooling,"Fan Coil Heating and Cooling, Electricity",Shared Heating,Electricity Shared Heating,Shared Cooling,72F,65F,Yes,No,12F,0F,None,Night -2h,Standard Efficiency,EF 17.6,"Gas, 100% Usage",None,Yes,"Standard, 100% Usage","Electric, 100% Usage",100% Incandescent,93%,None,None,None,None,None,None,Yes,"20% Leakage, R-4",15 ACH50
95,High,North,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,200% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,200%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour3,Hour14,None,5A,"CT, Hartford County",Non-CBSA New England,CT,CR03,New England,New England,Northeast,NEISO,Cold,"CT, 00303",3 or 4 Unit,1970s,1960-79,Multi-Family with 2 - 4 Units,Electricity,<5,Slab,WoodStud,500-749,0-1499,1,3,None,None,1,Double-Loaded Interior,No,1,Occupied,F12 B12 L12 R12,27,None,R-38,None,None,Composition Shingles,Uninsulated,None,None,None,None,Uninsulated,"Wood Stud, R-7",1 Pane,Yes,Electricity,Electric Standard,"Uninsulated, TrunkBranch, Copper",Non-Ducted Heating,Room AC,Heating and Cooling,"Fan Coil Heating and Cooling, Electricity",Shared Heating,Electricity Shared Heating,Shared Cooling,68F,72F,No,No,0F,0F,None,None,None,EF 15.9,"Electric, 120% Usage",None,None,None,None,100% CFL,121%,None,None,None,None,None,None,No,None,25 ACH50
96,Low,Southwest,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,50% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,50%,None,None,None,None,National Average,Typical Efficiency,"Year-Round, 3 days/wk",None,Hour20,Hour4,None,5A,"IN, Hamilton County",Non-CBSA East North Central,IN,CR04,East North Central,East North Central,Midwest,MISO,Cold,"IN, 01802",10 to 19 Unit,2000s,2000-09,Multi-Family with 5+ Units,Electricity,10 to 19 Units low,Slab,WoodStud,1000-1499,0-1499,3,15,None,None,2,Double-Loaded Interior,No,1,Occupied,F9 B9 L9 R9,27,None,R-38,None,None,"Asphalt Shingles, Medium",2ft R5 Exterior,None,None,None,None,R-30,"Wood Stud, R-11",2+ Pane,Yes,Electricity,Electric Standard,"Uninsulated, HomeRun, PEX",Ducted Heat Pump,Heat Pump,Heating and Cooling,"Fan Coil Heating and Cooling, Electricity",Shared Heating,Electricity Shared Heating,Shared Cooling,68F,70F,Yes,No,3F,0F,None,Day +3h,Standard Efficiency,EF 17.6,"Gas, 80% Usage","318 Rated kWh, 80% Usage",Yes,"EnergyStar, 80% Usage","Electric, 80% Usage",100% CFL,89%,None,None,None,None,None,None,Yes,"20% Leakage, R-8",7 ACH50
97,Low,West,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,50% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,50%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour16,Hour21,None,3B,"NV, Clark County",Non-CBSA Mountain,NV,CR10,Mountain,Mountain South,West,None,Hot-Dry,"NV, 00411",5 to 9 Unit,1990s,1980-99,Multi-Family with 5+ Units,Electricity,5 to 9 Units low,Slab,Masonry,1000-1499,0-1499,2,8,None,None,3,Double-Loaded Interior,Yes,1,Occupied,F30 B30 L30 R30,7,None,R-30,None,None,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,R-19,"CMU, 6-in Hollow, R-11",1 Pane,Yes,Electricity,Electric Standard,"Uninsulated, TrunkBranch, Copper",Ducted Heating,None,Heating and Cooling,"Fan Coil Heating and Cooling, Electricity",Shared Heating,Electricity Shared Heating,Shared Cooling,65F,78F,No,No,0F,0F,None,None,Standard Efficiency,EF 17.6,"Electric, 80% Usage",None,None,None,None,100% CFL,106%,None,None,None,None,None,None,Yes,"20% Leakage, R-4",15 ACH50
98,Medium,South,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,100% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour7,Hour17,None,2A,"FL, Pinellas County",Non-CBSA South Atlantic,FL,CR09,South Atlantic,South Atlantic,South,None,Hot-Humid,"FL, 10307",50 or more Unit,1970s,1960-79,Multi-Family with 5+ Units,Electricity,50 or more Units high,Slab,Masonry,1000-1499,0-1499,3,54,None,None,3,Double-Loaded Interior,Yes,2,Occupied,F30 B30 L30 R30,27,None,R-49,None,None,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,Uninsulated,"CMU, 6-in Hollow, R-7",1 Pane,Yes,Electricity,Electric Standard,"Uninsulated, TrunkBranch, Copper",Ducted Heat Pump,Heat Pump,Heating and Cooling,"Fan Coil Heating and Cooling, Electricity",Shared Heating,Electricity Shared Heating,Shared Cooling,76F,65F,No,No,0F,0F,None,None,Standard Efficiency,EF 17.6,"Gas, 100% Usage","318 Rated kWh, 100% Usage",Yes,"EnergyStar, 100% Usage","Electric, 100% Usage",100% CFL,106%,None,"EF 12, National Average",None,None,None,None,Yes,"10% Leakage, R-4",40 ACH50
