Dependency=Geometry Building Type ACS	Dependency=PUMA	Option=<1940	Option=1940s	Option=1950s	Option=1960s	Option=1970s	Option=1980s	Option=1990s	Option=2000s	Option=2010s	source_count	source_weight	sampling_probability
Single-Family Detached	AL, 01600	0.0669495	0.0653315	0.169028	0.170035	0.167805	0.0916151	0.100748	0.0916511	0.0768373	1202	27812	0.00020181
10 to 19 Unit	AL, 01700	0.0927152	0.0816777	0.0662252	0.00883002	0.15011	0.258278	0.295806	0.013245	0.0331126	17	453	3.35138e-06
2 Unit	AL, 01700	0.0981898	0.03017	0.0998354	0.0504663	0.31706	0.151947	0.186506	0.0575974	0.0082282	67	1823	1.34869e-05
20 to 49 Unit	AL, 01700	0.0887097	0	0.0362903	0.106855	0.0201613	0.274194	0.302419	0.0423387	0.129032	17	496	3.6695e-06
3 or 4 Unit	AL, 01700	0.0629345	0.0669594	0.0922064	0.0687889	0.188804	0.248811	0.161361	0.0625686	0.0475668	83	2733	2.02193e-05
5 to 9 Unit	AL, 01700	0.0397314	0	0.0173475	0.200895	0.238948	0.114158	0.264689	0.124231	0	51	1787	1.32206e-05
50 or more Unit	AL, 01700	0	0	0.192982	0	0.315789	0.08577	0.148148	0.0779727	0.179337	17	513	3.79527e-06
Mobile Home	AL, 01700	0.00174902	0	0.00114779	0.0452011	0.152219	0.23732	0.333734	0.171841	0.0567884	884	18296	0.000135357
Single-Family Attached	AL, 01700	0.165761	0	0	0.220109	0.410326	0.133152	0.0326087	0.0380435	0	21	368	2.72253e-06
Single-Family Detached	AL, 01700	0.131307	0.0767733	0.119095	0.148204	0.203737	0.113252	0.109146	0.0845111	0.0139755	2066	37995	0.000281094
10 to 19 Unit	AL, 01800	0	0	0	0	0.101464	0.312762	0.200837	0.359833	0.0251046	24	956	7.05642e-06
2 Unit	AL, 01800	0.0519645	0.00506971	0.0912548	0.267427	0.090621	0.18948	0.145754	0.122307	0.0361217	51	1578	1.16475e-05
20 to 49 Unit	AL, 01800	0	0	0.0423729	0	0	0.248588	0.101695	0.607345	0	15	354	2.61294e-06
3 or 4 Unit	AL, 01800	0.0094697	0.03125	0.030303	0.237689	0.257576	0.0549242	0.17803	0.141098	0.0596591	45	1056	7.79452e-06
5 to 9 Unit	AL, 01800	0.0395284	0	0.0409154	0.0769764	0.108877	0.113731	0.359223	0.0832178	0.177531	53	1442	1.06437e-05
50 or more Unit	AL, 01800	0	0	0.0139186	0.0192719	0.0631692	0.0385439	0.109208	0.497859	0.25803	23	934	6.89402e-06
Mobile Home	AL, 01800	0.00235624	0.00235624	0.0017831	0.0336878	0.11329	0.193148	0.400815	0.186398	0.0661657	669	15703	0.000115907
Single-Family Attached	AL, 01800	0.0491803	0	0	0.102144	0.194199	0.163934	0.0441362	0.310214	0.136192	34	793	5.85331e-06
Single-Family Detached	AL, 01800	0.118206	0.0511651	0.118625	0.146442	0.206709	0.0991643	0.120487	0.109849	0.0293536	2122	42959	0.000317088
10 to 19 Unit	AL, 01900	0	0.00445278	0.00773377	0.0271854	0.0417155	0.167799	0.220764	0.419264	0.111085	117	4267	3.05116e-05
2 Unit	AL, 01900	0.0153649	0.0653009	0.00352113	0.0256082	0.0797055	0.1258	0.369078	0.137964	0.177657	79	3124	2.23385e-05
20 to 49 Unit	AL, 01900	0.0163217	0	0.0557325	0.0210987	0.16043	0.211783	0.23328	0.12301	0.178344	64	2512	1.79623e-05
3 or 4 Unit	AL, 01900	0	0.0324123	0.0680128	0.0403826	0.100425	0.166844	0.158342	0.203507	0.230074	53	1882	1.34574e-05
5 to 9 Unit	AL, 01900	0	0.017336	0.00375614	0.0390061	0.0944814	0.171627	0.213522	0.307715	0.152557	98	3461	2.47482e-05
50 or more Unit	AL, 01900	0.00735931	0.00519481	0.0203463	0.0363636	0.0796537	0.0701299	0.261472	0.277489	0.241991	71	2310	1.65179e-05
Mobile Home	AL, 01900	0.000908513	0.00272554	0	0.0165349	0.100209	0.213682	0.393023	0.1996	0.073317	331	11007	7.87064e-05
Single-Family Attached	AL, 01900	0.0299902	0	0.0481809	0.074238	0.0762045	0.157817	0.23648	0.320551	0.0565388	75	2034	1.45443e-05
Single-Family Detached	AL, 01900	0.0340326	0.0165472	0.0601954	0.0790619	0.133238	0.0980847	0.200156	0.248182	0.130502	1417	38375	0.000274404
10 to 19 Unit	AL, 02000	0.0169492	0.00440238	0.00990535	0.0821043	0.233766	0.135373	0.227163	0.192604	0.0977328	114	4543	3.35801e-05
2 Unit	AL, 02000	0.321077	0.0748523	0.150361	0.0426789	0.130663	0.026264	0.0374261	0.142482	0.0741957	71	1523	1.12574e-05
20 to 49 Unit	AL, 02000	0.0223301	0.0271845	0.0359223	0.0504854	0.271845	0.196602	0.187864	0.109223	0.0985437	64	2060	1.52267e-05
3 or 4 Unit	AL, 02000	0.143455	0.0489202	0.052446	0.120097	0.214852	0.100705	0.144337	0.140811	0.0343764	168	4538	3.35432e-05
5 to 9 Unit	AL, 02000	0.0225157	0.0168868	0.0177528	0.0426499	0.238688	0.220827	0.216281	0.164646	0.0597532	238	9238	6.82837e-05
50 or more Unit	AL, 02000	0.0727821	0.0465116	0.0275624	0.118002	0.300172	0.0546942	0.118432	0.0977606	0.164083	105	2322	1.71633e-05
Mobile Home	AL, 02000	0.0107126	0	0	0.00745226	0.174662	0.118305	0.4653	0.156497	0.0670703	82	2147	1.58698e-05
Single-Family Attached	AL, 02000	0.0898551	0.0949275	0.0898551	0.0322464	0.192029	0.267391	0.132246	0.0833333	0.0181159	152	2760	2.04008e-05
Single-Family Detached	AL, 02000	0.0803012	0.050357	0.166084	0.142141	0.193979	0.128267	0.113417	0.0910363	0.0344171	2873	61481	0.000454444
10 to 19 Unit	AL, 02100	0	0	0	0.0393765	0.182116	0.0492207	0.0525021	0.50041	0.176374	28	1219	8.9726e-06
2 Unit	AL, 02100	0.0608974	0	0.0192308	0.233974	0.325321	0.0560897	0.0304487	0.142628	0.13141	27	624	4.59302e-06
20 to 49 Unit	AL, 02100	0	0	0	0.0556701	0.107216	0	0.0515464	0.643299	0.142268	15	485	3.56989e-06
3 or 4 Unit	AL, 02100	0.0530856	0	0.0066357	0.0544127	0.183145	0.01858	0.292634	0.252157	0.13935	56	1507	1.10924e-05
5 to 9 Unit	AL, 02100	0.0373638	0.00415153	0	0.110016	0.0877011	0.0254281	0.266217	0.207577	0.261546	47	1927	1.41839e-05
50 or more Unit	AL, 02100	0.024289	0.0123081	0.0227761	0.0492527	0.134121	0.191409	0.189364	0.221668	0.154812	1994	48911	1.25866e-06
Mobile Home	AL, 02100	0.00342328	0.00214794	0.00583971	0.0147	0.0830984	0.235736	0.392872	0.193113	0.0690697	602	14898	0.000109658
Single-Family Attached	AL, 02100	0	0	0.0367454	0	0.145669	0.156168	0.0380577	0.577428	0.0459318	30	762	5.60878e-06
Single-Family Detached	AL, 02100	0.0434139	0.0308267	0.0559288	0.108192	0.161285	0.107704	0.209412	0.211453	0.0717846	2546	55374	0.000407586
10 to 19 Unit	AL, 02200	0	0	0	0	0.0604396	0.620879	0.318681	0	0	14	182	1.34496e-06
2 Unit	AL, 02200	0	0	0.0492197	0.0144058	0.130852	0.109244	0.45018	0.207683	0.0384154	42	833	6.15579e-06
20 to 49 Unit	AL, 02200	0	0	0.00914634	0.216463	0.112805	0.161585	0.283537	0.125	0.0914634	25	328	2.42389e-06
3 or 4 Unit	AL, 02200	0	0.0189099	0.0522803	0.0422692	0.12069	0.322581	0.329811	0.0873192	0.0261402	73	1798	1.3287e-05
5 to 9 Unit	AL, 02200	0	0	0	0.0863394	0.0337079	0.26848	0.402129	0.0620934	0.14725	66	1691	1.24963e-05
50 or more Unit	AL, 02200	0.024289	0.0123081	0.0227761	0.0492527	0.134121	0.191409	0.189364	0.221668	0.154812	1994	48911	1.34496e-06
Mobile Home	AL, 02200	0.000899566	0.00402159	0.00275161	0.0170388	0.119007	0.241613	0.421262	0.150968	0.0424384	981	18898	0.000139654
Single-Family Attached	AL, 02200	0	0	0	0.308434	0.255422	0.103614	0.2	0.13253	0	20	415	3.06681e-06
Single-Family Detached	AL, 02200	0.0609089	0.0461063	0.107787	0.139246	0.188551	0.187271	0.147143	0.0928745	0.0301125	2668	45330	0.000334984
10 to 19 Unit	AL, 02300	0.149635	0	0.0693431	0	0.313869	0	0.164234	0.20438	0.0985401	14	274	2.0286e-06
2 Unit	AL, 02300	0.0453767	0.067637	0.126712	0.0761986	0.297089	0.145548	0.190925	0.0214041	0.0291096	86	1168	8.64747e-06
20 to 49 Unit	AL, 02300	0	0	0.06	0.104	0.108	0.06	0.348	0.196	0.124	14	250	1.85092e-06
3 or 4 Unit	AL, 02300	0.00941176	0.0470588	0.0276471	0.0605882	0.230588	0.180588	0.285882	0.0988235	0.0594118	94	1700	1.25862e-05
5 to 9 Unit	AL, 02300	0	0.0476923	0.0174359	0.0246154	0.1	0.275385	0.272821	0.225641	0.0364103	78	1950	1.44371e-05
50 or more Unit	AL, 02300	0.102151	0	0	0	0.0967742	0.258065	0.263441	0.252688	0.0268817	12	186	1.37708e-06
Mobile Home	AL, 02300	0.00537308	0.000606638	0.00658636	0.021579	0.138487	0.216397	0.401595	0.14308	0.0662969	1018	11539	8.54308e-05
Single-Family Attached	AL, 02300	0.0515152	0.0515152	0.0272727	0.0222222	0.0626263	0.0757576	0.249495	0.393939	0.0656566	64	990	7.32961e-06
Single-Family Detached	AL, 02300	0.0859525	0.0492063	0.111751	0.126746	0.195557	0.138182	0.136744	0.112897	0.0429641	3358	41011	0.000303632
10 to 19 Unit	AL, 02400	0	0.0342034	0.060306	0.0675068	0.218722	0.060306	0.10351	0.241224	0.214221	48	1111	8.1357e-06
2 Unit	AL, 02400	0.0599647	0.043739	0.100882	0.192593	0.228571	0.191534	0.09806	0.027866	0.0567901	138	2835	2.07603e-05
20 to 49 Unit	AL, 02400	0	0	0	0.0486891	0.179775	0.29588	0.011236	0.209738	0.254682	15	534	3.9104e-06
3 or 4 Unit	AL, 02400	0.0231051	0.0667794	0.0524091	0.141448	0.176388	0.280642	0.177797	0.0386024	0.042829	131	3549	2.59888e-05
5 to 9 Unit	AL, 02400	0.0204852	0.0113208	0.0595687	0.121833	0.189757	0.258221	0.144205	0.0916442	0.102965	118	3710	2.71678e-05
50 or more Unit	AL, 02400	0	0	0	0	0.150754	0.103015	0.30402	0.288945	0.153266	17	398	2.9145e-06
Mobile Home	AL, 02400	0.000606796	0.00505663	0.00782093	0.0240696	0.129585	0.250067	0.386529	0.144215	0.0520496	831	14832	0.000108613
Single-Family Attached	AL, 02400	0.0276243	0.014733	0.0976059	0.0718232	0.241252	0.108656	0.092081	0.25046	0.0957643	40	543	3.97631e-06
Single-Family Detached	AL, 02400	0.0921751	0.0702088	0.116157	0.139746	0.16718	0.107491	0.112705	0.112125	0.0822115	2439	43157	0.000316032
10 to 19 Unit	AL, 02500	0.00761246	0.0249135	0.0352941	0.0484429	0.227682	0.161246	0.104498	0.191696	0.198616	171	1445	1.064e-05
2 Unit	AL, 02500	0.0372745	0.0957916	0.139479	0.143487	0.209218	0.163928	0.121844	0.0729459	0.0160321	255	2495	1.83716e-05
20 to 49 Unit	AL, 02500	0.00423131	0.0155148	0.0733427	0.0296192	0.0874471	0.0465444	0.156559	0.155148	0.431594	72	709	5.22061e-06
3 or 4 Unit	AL, 02500	0.0198108	0.0490834	0.0792431	0.135423	0.232703	0.248965	0.128622	0.0443525	0.0617978	330	3382	2.49029e-05
5 to 9 Unit	AL, 02500	0.0228076	0.0513974	0.0533248	0.134918	0.238034	0.246707	0.132027	0.0889817	0.0318021	314	3113	2.29221e-05
50 or more Unit	AL, 02500	0.0166945	0.00500835	0.015025	0.160267	0.126878	0.193656	0.203673	0.0951586	0.183639	106	599	4.41065e-06
Mobile Home	AL, 02500	0.0023285	0.00608992	0.00304496	0.0200609	0.0795868	0.240193	0.423966	0.177742	0.0469879	1513	16749	0.000123329
Single-Family Attached	AL, 02500	0.0449353	0.00228484	0.14166	0.14623	0.143184	0.204874	0.124905	0.0952018	0.0967251	154	1313	9.66807e-06
Single-Family Detached	AL, 02500	0.0554007	0.0466239	0.102948	0.146482	0.200051	0.12552	0.11464	0.155339	0.0529954	7876	62779	0.000462264
10 to 19 Unit	AL, 02600	0	0	0	0.00339888	0.0432144	0.214372	0.353484	0.346686	0.0388444	76	4119	2.91363e-05
2 Unit	AL, 02600	0	0	0.043153	0.0178366	0.102992	0.288262	0.204258	0.208285	0.135213	58	1738	1.22939e-05
20 to 49 Unit	AL, 02600	0	0	0	0.0277402	0.0104871	0.217185	0.268606	0.38092	0.0950609	70	2956	2.09096e-05
3 or 4 Unit	AL, 02600	0.0130672	0	0	0	0.205808	0.189111	0.320508	0.17931	0.092196	80	2755	1.94879e-05
5 to 9 Unit	AL, 02600	0	0	0.0119625	0.0258649	0.0594892	0.223084	0.412544	0.212415	0.0546395	74	3093	2.18787e-05
50 or more Unit	AL, 02600	0	0	0	0.00955391	0.0120526	0.299772	0.239803	0.39928	0.0395385	362	13607	9.62506e-05
Mobile Home	AL, 02600	0.00188182	0.00383892	0.00760256	0.0194204	0.157697	0.223485	0.354836	0.177795	0.0534437	423	13285	9.39733e-05
Single-Family Attached	AL, 02600	0.00398142	0	0.0192435	0.0066357	0.0856005	0.293962	0.338421	0.172528	0.0796284	57	1507	1.06599e-05
Single-Family Detached	AL, 02600	0.0405322	0.0238243	0.0504472	0.0758607	0.108798	0.114944	0.204813	0.272896	0.107884	2721	71104	0.000502963
10 to 19 Unit	AL, 02701	0.0281871	0.0365151	0.0320307	0.0755926	0.247918	0.14542	0.184497	0.0935298	0.15631	66	1561	1.17095e-05
2 Unit	AL, 02701	0.102574	0.148206	0.276521	0.221139	0.0733229	0.0928237	0.00975039	0.0120905	0.0635725	140	2564	1.92334e-05
20 to 49 Unit	AL, 02701	0.101775	0	0.0414201	0.147929	0.224852	0.186982	0.100592	0.0757396	0.12071	39	845	6.33859e-06
3 or 4 Unit	AL, 02701	0.125096	0.215656	0.242134	0.147352	0.151573	0.0775134	0.00652341	0.0249424	0.00920952	132	2606	1.95484e-05
5 to 9 Unit	AL, 02701	0.0850588	0.0151091	0.122552	0.121992	0.2216	0.255176	0.0324566	0.0951315	0.0509233	82	1787	1.34048e-05
50 or more Unit	AL, 02701	0.0217155	0.062975	0.0157438	0.0819761	0.378393	0.181868	0.0586319	0.0928339	0.105863	100	1842	1.38174e-05
Mobile Home	AL, 02701	0.00875912	0.0832117	0.0846715	0.0963504	0.0875912	0.109489	0.306569	0.223358	0	39	685	5.13841e-06
Single-Family Attached	AL, 02701	0.198988	0.0978078	0.18887	0.129848	0.134907	0.074199	0.0893761	0.0236088	0.0623946	40	593	4.44828e-06
Single-Family Detached	AL, 02701	0.111699	0.10241	0.280143	0.243481	0.14626	0.0511403	0.0321995	0.0267248	0.00594172	2290	38541	0.000289108
10 to 19 Unit	AL, 02702	0	0	0.0593839	0.029692	0.348841	0.181169	0.192283	0.129247	0.0593839	154	6298	4.59541e-05
2 Unit	AL, 02702	0.0525253	0	0	0.0343434	0.288889	0.278788	0.183838	0.0282828	0.133333	18	495	3.61183e-06
20 to 49 Unit	AL, 02702	0	0	0.0142022	0.0137845	0.220551	0.209691	0.157059	0.218881	0.165831	76	2394	1.74681e-05
3 or 4 Unit	AL, 02702	0	0.0144487	0.0730038	0.0304183	0.271483	0.270722	0.152091	0.0775665	0.110266	57	1315	9.59504e-06
5 to 9 Unit	AL, 02702	0	0	0.0397056	0.0576759	0.323806	0.26014	0.106452	0.1465	0.0657197	189	5843	4.26341e-05
50 or more Unit	AL, 02702	0	0	0.0280983	0.0180632	0.204215	0.222278	0.273457	0.14852	0.105369	90	1993	1.45422e-05
Mobile Home	AL, 02702	0	0	0	0	0.19021	0.048951	0.251748	0.495105	0.013986	30	715	5.21707e-06
Single-Family Attached	AL, 02702	0.0198675	0.0248344	0.0182119	0.0562914	0.369205	0.332781	0.0761589	0.102649	0	39	604	4.40717e-06
Single-Family Detached	AL, 02702	0.0085282	0.0359774	0.137307	0.19838	0.256763	0.185786	0.0907229	0.0697234	0.0168119	1570	32715	0.000238709
10 to 19 Unit	AL, 02703	0	0.0150442	0	0.0256637	0.138938	0.0433628	0.288496	0.146018	0.342478	26	1130	8.4235e-06
2 Unit	AL, 02703	0	0.0798817	0.130178	0	0.292899	0.118343	0.0591716	0.319527	0	16	338	2.5196e-06
20 to 49 Unit	AL, 02703	0	0.0242588	0.017071	0	0.14106	0.206649	0.0377358	0.513926	0.0592992	23	1113	8.29675e-06
3 or 4 Unit	AL, 02703	0	0	0	0.0324786	0.135043	0.242735	0.189744	0.217094	0.182906	30	585	4.36084e-06
5 to 9 Unit	AL, 02703	0	0	0	0.0370595	0.148238	0.325638	0.121507	0.275213	0.0923451	44	1646	1.227e-05
50 or more Unit	AL, 02703	0	0	0.0283126	0	0.211778	0.137033	0.146093	0.147225	0.329558	25	883	6.58227e-06
Mobile Home	AL, 02703	0.000311163	0.00147802	0.00210035	0.0124465	0.152548	0.205212	0.410268	0.185998	0.0296383	445	12855	9.58266e-05
Single-Family Attached	AL, 02703	0	0	0.0424242	0.157576	0.130303	0.133333	0.124242	0.354545	0.0575758	20	330	2.45996e-06
Single-Family Detached	AL, 02703	0.0249532	0.0148383	0.0518772	0.0937047	0.211858	0.157016	0.173385	0.207818	0.0645492	2556	61395	0.000457664
10 to 19 Unit	AR, 00100	0	0.00444998	0.00338199	0.00907796	0.0261659	0.249377	0.358135	0.226771	0.122642	213	5618	3.91353e-05
2 Unit	AR, 00100	0.0196657	0	0.0422812	0.0771878	0.145034	0.228122	0.233038	0.151426	0.103245	104	2034	1.4169e-05
20 to 49 Unit	AR, 00100	0	0.0163532	0	0.0253475	0.0899428	0.147179	0.33933	0.174162	0.207686	46	1223	8.51948e-06
3 or 4 Unit	AR, 00100	0.04625	0.0046875	0.0240625	0.039375	0.210938	0.274062	0.159062	0.21	0.0315625	134	3200	2.22914e-05
5 to 9 Unit	AR, 00100	0.00913075	0.0226443	0.017531	0.00949598	0.0814463	0.179693	0.300584	0.224982	0.154492	133	2738	1.90731e-05
50 or more Unit	AR, 00100	0	0	0	0.0181044	0.108626	0.112886	0.258786	0.336528	0.165069	54	939	6.54112e-06
Mobile Home	AR, 00100	0	0	0.0188482	0.0219895	0.192251	0.249843	0.299058	0.155602	0.0624084	227	4775	3.32629e-05
Single-Family Attached	AR, 00100	0	0.0186267	0.0123125	0.0284136	0.0776638	0.143962	0.300079	0.283031	0.135912	221	6335	4.41299e-05
Single-Family Detached	AR, 00100	0.0244249	0.0160336	0.0243488	0.0467171	0.119167	0.136495	0.227441	0.285051	0.120322	3967	78772	0.00054873
10 to 19 Unit	AR, 00200	0.00839813	0	0.0086055	0.00611716	0.086677	0.138621	0.351063	0.289684	0.110835	245	9645	6.9659e-05
2 Unit	AR, 00200	0.0407663	0.0033415	0.0180441	0.00779684	0.112943	0.236801	0.295611	0.241702	0.042994	122	4489	3.24208e-05
20 to 49 Unit	AR, 00200	0.0403509	0	0	0.0381579	0.100439	0.0991228	0.247368	0.278947	0.195614	72	2280	1.64668e-05
3 or 4 Unit	AR, 00200	0.0454545	0	0.0353784	0.106807	0.135916	0.17107	0.289073	0.185177	0.031124	114	4466	3.22547e-05
5 to 9 Unit	AR, 00200	0.0352558	0.00555662	0	0.0327649	0.124353	0.22284	0.296609	0.195631	0.0869898	155	5219	3.76931e-05
50 or more Unit	AR, 00200	0.0191048	0	0.0251092	0.00818777	0.177948	0.176856	0.197052	0.186681	0.209061	72	1832	1.32312e-05
Mobile Home	AR, 00200	0.0248726	0	0.00265036	0.0293578	0.182059	0.240571	0.279307	0.181244	0.0599388	184	4905	3.54253e-05
Single-Family Attached	AR, 00200	0.0124498	0.0164659	0.0349398	0.0301205	0.0702811	0.16506	0.283936	0.285944	0.100803	92	2490	1.79834e-05
Single-Family Detached	AR, 00200	0.0550227	0.0243802	0.0584541	0.10229	0.149541	0.114026	0.180304	0.228446	0.0875354	2517	58285	0.000420951
10 to 19 Unit	AR, 00300	0	0	0.0290698	0.0686047	0.0523256	0.260465	0.453488	0.0837209	0.0523256	49	860	6.38729e-06
2 Unit	AR, 00300	0.0319465	0.0245171	0.0809807	0.122585	0.147845	0.244428	0.248143	0.0438336	0.0557207	72	1346	9.99689e-06
20 to 49 Unit	AR, 00300	0.0168539	0	0.0126404	0.0744382	0.0884831	0.205056	0.282303	0.320225	0	45	712	5.2881e-06
3 or 4 Unit	AR, 00300	0.00360268	0.00514668	0.0365414	0.0380854	0.345857	0.200206	0.225425	0.0993309	0.0458055	103	1943	1.44309e-05
5 to 9 Unit	AR, 00300	0	0.0140221	0.0265683	0.0464945	0.151292	0.209594	0.268635	0.270849	0.0125461	73	1355	1.00637e-05
50 or more Unit	AR, 00300	0.0300304	0.016533	0.0562663	0.114592	0.166034	0.166576	0.16804	0.156765	0.125163	770	18448	2.45838e-06
Mobile Home	AR, 00300	0.00243472	0.00512132	0.00638066	0.0579296	0.197548	0.233482	0.305768	0.161867	0.0294686	609	11911	8.84641e-05
Single-Family Attached	AR, 00300	0.039604	0.0550743	0.0179455	0.0847772	0.0990099	0.154084	0.283416	0.193069	0.0730198	84	1616	1.20022e-05
Single-Family Detached	AR, 00300	0.0845103	0.0456907	0.0657727	0.0808756	0.228669	0.127014	0.181435	0.152922	0.0331104	3406	60253	0.000447505
10 to 19 Unit	AR, 00400	0	0.0205479	0	0.136986	0.29726	0.250685	0.194521	0.0671233	0.0328767	39	730	5.40448e-06
2 Unit	AR, 00400	0	0.0112705	0.0102459	0.173156	0.0860656	0.140369	0.313525	0.168033	0.0973361	72	976	7.22569e-06
20 to 49 Unit	AR, 00400	0	0.104746	0.00981997	0	0.0981997	0.382979	0.176759	0.00490998	0.222586	33	611	4.52347e-06
3 or 4 Unit	AR, 00400	0.00377834	0.0119647	0.0132242	0.063602	0.15995	0.352645	0.127834	0.165617	0.101385	96	1588	1.17566e-05
5 to 9 Unit	AR, 00400	0	0.0171891	0.0273003	0.0364004	0.305359	0.203236	0.147624	0.192113	0.0707786	48	989	7.32193e-06
50 or more Unit	AR, 00400	0	0	0	0.035	0.265	0.465	0.165	0	0.07	13	200	1.48068e-06
Mobile Home	AR, 00400	0.00236569	0	0.00255245	0.0310652	0.152213	0.223557	0.278777	0.23744	0.0720289	843	16063	0.000118921
Single-Family Attached	AR, 00400	0.00641026	0.0144231	0	0.200321	0.491987	0.120192	0.0560897	0.104167	0.00641026	38	624	4.61972e-06
Single-Family Detached	AR, 00400	0.0484603	0.0414362	0.0665084	0.101763	0.248254	0.154568	0.154548	0.138089	0.0463741	3209	52249	0.00038682
10 to 19 Unit	AR, 00500	0.00930072	0	0.0158457	0.0217017	0.138477	0.10093	0.347916	0.122976	0.242852	85	2903	2.11079e-05
2 Unit	AR, 00500	0.0240296	0	0.0469501	0.0746765	0.0879852	0.20037	0.190388	0.119409	0.256192	127	2705	1.96682e-05
20 to 49 Unit	AR, 00500	0.019816	0.00424628	0.0799717	0.0721868	0.116773	0.154989	0.19816	0.252654	0.101203	61	1413	1.0274e-05
3 or 4 Unit	AR, 00500	0.0236847	0.00287599	0.00575199	0.101336	0.119269	0.161563	0.168838	0.154458	0.262223	185	5911	4.29793e-05
5 to 9 Unit	AR, 00500	0.011583	0	0.041418	0.0586171	0.325377	0.102843	0.0859951	0.118638	0.255528	100	2849	2.07153e-05
50 or more Unit	AR, 00500	0	0	0	0.05	0.20875	0.19875	0.31125	0.12625	0.105	33	800	5.81686e-06
Mobile Home	AR, 00500	0.00207545	0	0.0131852	0.0434623	0.135148	0.216823	0.345867	0.199243	0.0441948	442	8191	5.95574e-05
Single-Family Attached	AR, 00500	0.00636943	0.0356688	0.044586	0.101911	0.109554	0.205096	0.250955	0.15414	0.0917197	46	785	5.70779e-06
Single-Family Detached	AR, 00500	0.0571033	0.0330482	0.0731456	0.109541	0.209531	0.137738	0.164666	0.144939	0.0702887	3246	59156	0.000430128
10 to 19 Unit	AR, 00600	0.0523897	0	0	0.0275735	0.169118	0.09375	0.390625	0.192096	0.0744485	39	1088	8.10303e-06
2 Unit	AR, 00600	0.0891967	0.0966759	0.119114	0.169252	0.133518	0.0903047	0.186704	0.0908587	0.0243767	160	3610	2.6886e-05
20 to 49 Unit	AR, 00600	0	0.191344	0.127563	0.193622	0.1959	0.0318907	0.0728929	0.179954	0.00683371	23	439	3.26951e-06
3 or 4 Unit	AR, 00600	0.0383178	0.014486	0.0308411	0.2	0.142056	0.180374	0.211682	0.165421	0.0168224	113	2140	1.59379e-05
5 to 9 Unit	AR, 00600	0.00423131	0.00423131	0.09685	0.136342	0.121298	0.0766338	0.315938	0.189939	0.0545369	83	2127	1.58411e-05
50 or more Unit	AR, 00600	0	0.0888031	0.196911	0.15444	0	0.0733591	0.15444	0.131274	0.200772	15	259	1.92894e-06
Mobile Home	AR, 00600	0.00210147	0.00060042	0.0372261	0.0447313	0.116482	0.179526	0.289403	0.289102	0.0408286	276	3331	2.4808e-05
Single-Family Attached	AR, 00600	0.0215686	0.25098	0.0294118	0.0980392	0.192157	0.113725	0.166667	0.0960784	0.0313725	38	510	3.79828e-06
Single-Family Detached	AR, 00600	0.0471516	0.0446224	0.11803	0.165392	0.216699	0.14004	0.132452	0.103728	0.0318861	2125	33212	0.000247351
10 to 19 Unit	AR, 00700	0	0	0.0755906	0.122835	0.184252	0.15748	0.218898	0.0976378	0.143307	37	635	4.74001e-06
2 Unit	AR, 00700	0.0304756	0.0157401	0.0699933	0.252512	0.269926	0.159745	0.135633	0.0338245	0.03215	148	2986	2.22892e-05
20 to 49 Unit	AR, 00700	0.0738255	0	0	0	0.0973154	0.312081	0.305369	0.154362	0.057047	28	298	2.22444e-06
3 or 4 Unit	AR, 00700	0	0.00882029	0.0347299	0.133407	0.227122	0.407938	0.122933	0.0529217	0.0121279	105	1814	1.35407e-05
5 to 9 Unit	AR, 00700	0.0210186	0.109135	0	0.0517381	0.298302	0.256265	0.189167	0.0743735	0	49	1237	9.23367e-06
50 or more Unit	AR, 00700	0.0300304	0.016533	0.0562663	0.114592	0.166034	0.166576	0.16804	0.156765	0.125163	770	18448	8.58427e-07
Mobile Home	AR, 00700	0	0.00689049	0.00469139	0.042809	0.110688	0.215218	0.2743	0.281337	0.0640669	409	6821	5.09159e-05
Single-Family Attached	AR, 00700	0.0425532	0.0661939	0	0.125296	0.274232	0.13948	0.338061	0	0.0141844	28	423	3.15752e-06
Single-Family Detached	AR, 00700	0.0751185	0.0692245	0.12955	0.170779	0.244539	0.113487	0.0906333	0.0749451	0.0317231	2173	34612	0.000258364
