Dependency=Geometry Building Type RECS	Dependency=State	Dependency=Vintage ACS	Option=No	Option=Yes	source_count	source_weight	sampling_probability
Multi-Family with 2 - 4 Units	WA	2010s	0.238482	0.761518	13	0	5.895e-05
Multi-Family with 2 - 4 Units	WA	<1940	0.153701	0.846299	14	19954.2	0.000123967
Multi-Family with 5+ Units	WA	1940-59	0.673247	0.326753	52	20776	0.000230135
Multi-Family with 5+ Units	WA	1960-79	0.527655	0.472345	18	184626	0.00119314
Multi-Family with 5+ Units	WA	1980-99	0.380786	0.619214	14	126125	0.00156797
Multi-Family with 5+ Units	WA	2000-09	0.545305	0.454695	17	126114	0.000711394
Multi-Family with 5+ Units	WA	2010s	0.524241	0.475759	23	179474	0.00052782
Multi-Family with 5+ Units	WA	<1940	0.724551	0.275449	36	53689.8	0.000288835
Single-Family Attached	WA	1940-59	0.11089	0.88911	20	0	6.04786e-05
Single-Family Attached	WA	1960-79	0.0891522	0.910848	60	25534.9	0.000164683
Single-Family Attached	WA	1980-99	0.0188239	0.981176	60	20749.4	0.000280189
Single-Family Attached	WA	2000-09	0	1	23	21971.4	0.000239773
Single-Family Attached	WA	2010s	0	1	12	12544.8	8.51803e-05
Single-Family Attached	WA	<1940	0.100651	0.899349	12	0	3.37702e-05
Single-Family Detached	WA	1940-59	0	1	83	281337	0.00226354
Single-Family Detached	WA	1960-79	0	1	71	429380	0.00331717
Single-Family Detached	WA	1980-99	0	1	70	433240	0.00363801
Single-Family Detached	WA	2000-09	0	1	39	211666	0.0021681
Single-Family Detached	WA	2010s	0	1	33	161155	0.000828245
Single-Family Detached	WA	<1940	0	1	55	283885	0.00179466
Mobile Home	WI	1940-59	0	1	4	0	1.26977e-05
Mobile Home	WI	1960-79	0	1	16	19106.6	0.000216757
Mobile Home	WI	1980-99	0	1	25	35563.1	0.000337884
Mobile Home	WI	2000-09	0	1	20	5794.7	7.75614e-05
Mobile Home	WI	2010s	0	1	11	0	1.48504e-05
Mobile Home	WI	<1940	0	1	4	0	7.16074e-06
Multi-Family with 2 - 4 Units	WI	1940-59	0.487742	0.512258	41	18907.1	0.0003379
Multi-Family with 2 - 4 Units	WI	1960-79	0.399147	0.600853	22	19468	0.000417556
Multi-Family with 2 - 4 Units	WI	1980-99	0.357342	0.642658	19	36490.5	0.000322867
Multi-Family with 2 - 4 Units	WI	2000-09	0.371913	0.628087	12	32066.2	0.000111658
Multi-Family with 2 - 4 Units	WI	2010s	0.371913	0.628087	12	0	3.60341e-05
Multi-Family with 2 - 4 Units	WI	<1940	0.390813	0.609187	33	48860.4	0.000759016
Multi-Family with 5+ Units	WI	1940-59	0.66349	0.33651	41	22428	0.000230591
Multi-Family with 5+ Units	WI	1960-79	0.631931	0.368069	14	117226	0.000884251
Multi-Family with 5+ Units	WI	1980-99	0.521534	0.478466	16	167699	0.0010197
Multi-Family with 5+ Units	WI	2000-09	0.541754	0.458246	37	47858.1	0.000443747
Multi-Family with 5+ Units	WI	2010s	0.646156	0.353844	26	62314.7	0.000248305
Multi-Family with 5+ Units	WI	<1940	0.615892	0.384108	29	13668.6	0.000296177
Single-Family Attached	WI	1940-59	0.00958945	0.990411	22	11493.1	6.90631e-05
Single-Family Attached	WI	1960-79	0	1	11	34475.4	0.000174223
Single-Family Attached	WI	1980-99	0	1	67	28484.1	0.000281238
Single-Family Attached	WI	2000-09	0	1	48	17364.9	0.00020501
Single-Family Attached	WI	2010s	0	1	14	2697.66	3.22875e-05
Single-Family Attached	WI	<1940	0.0328217	0.967178	12	11179.5	8.24232e-05
Single-Family Detached	WI	1940-59	0	1	104	404635	0.00253135
Single-Family Detached	WI	1960-79	0	1	71	421036	0.00315499
Single-Family Detached	WI	1980-99	0	1	39	282754	0.00275749
Single-Family Detached	WI	2000-09	0	1	28	153124	0.00162024
Single-Family Detached	WI	2010s	0	1	11	53275.9	0.000389505
Single-Family Detached	WI	<1940	0	1	63	320906	0.00269243
Mobile Home	WV	1940-59	0	1	14	0	1.71505e-05
Mobile Home	WV	1960-79	0	1	43	25320.7	0.000281262
Mobile Home	WV	1980-99	0	1	14	57627.8	0.000474432
Mobile Home	WV	2000-09	0	1	35	25585.3	0.000166838
Mobile Home	WV	2010s	0	1	19	6973.83	3.99547e-05
Mobile Home	WV	<1940	0	1	14	0	7.46579e-06
Multi-Family with 2 - 4 Units	WV	1940-59	0.341811	0.658189	34	4801.22	6.43375e-05
Multi-Family with 2 - 4 Units	WV	1960-79	0.418511	0.581489	48	12010.5	7.76482e-05
Multi-Family with 2 - 4 Units	WV	1980-99	0.312325	0.687675	43	6051.2	7.21797e-05
Multi-Family with 2 - 4 Units	WV	2000-09	0.313703	0.686297	19	2378.96	2.48362e-05
Multi-Family with 2 - 4 Units	WV	2010s	0.52869	0.47131	12	0	1.0877e-05
Multi-Family with 2 - 4 Units	WV	<1940	0.561139	0.438861	23	2672.55	7.21231e-05
Multi-Family with 5+ Units	WV	1940-59	0.550315	0.449685	72	5582.7	4.92673e-05
Multi-Family with 5+ Units	WV	1960-79	0.43835	0.56165	118	17037.1	0.000143329
Multi-Family with 5+ Units	WV	1980-99	0.295046	0.704954	127	12889.7	0.000156055
Multi-Family with 5+ Units	WV	2000-09	0.41465	0.58535	91	3880.25	5.75401e-05
Multi-Family with 5+ Units	WV	2010s	0.374218	0.625782	74	3150.21	3.18995e-05
Multi-Family with 5+ Units	WV	<1940	0.667289	0.332711	45	0	4.78546e-05
Single-Family Attached	WV	1940-59	0.0427483	0.957252	86	4476.89	1.39744e-05
Single-Family Attached	WV	1960-79	0.0385126	0.961487	64	9218.95	2.48145e-05
Single-Family Attached	WV	1980-99	0.0174159	0.982584	109	4424.84	3.22781e-05
Single-Family Attached	WV	2000-09	0.0159756	0.984024	87	7103.89	4.20958e-05
Single-Family Attached	WV	2010s	0.0159756	0.984024	47	5813.1	1.81057e-05
Single-Family Attached	WV	<1940	0.0175074	0.982493	69	4165.84	1.58191e-05
Single-Family Detached	WV	1940-59	0	1	49	110596	0.00104402
Single-Family Detached	WV	1960-79	0	1	37	124676	0.00114594
Single-Family Detached	WV	1980-99	0	1	26	91912	0.00095793
Single-Family Detached	WV	2000-09	0	1	16	47162.2	0.000479157
Single-Family Detached	WV	2010s	0	1	224	25451.5	0.00012101
Single-Family Detached	WV	<1940	0	1	27	75198.3	0.000909532
Mobile Home	WY	1940-59	0	1	7	2295.3	5.56686e-06
Mobile Home	WY	1960-79	0	1	31	9248.61	0.000102868
Mobile Home	WY	1980-99	0	1	35	5536.66	0.000105251
Mobile Home	WY	2000-09	0	1	10	3261.18	4.56395e-05
Mobile Home	WY	2010s	0	1	15	0	1.16594e-05
Mobile Home	WY	<1940	0	1	7	0	6.35243e-07
Multi-Family with 2 - 4 Units	WY	1940-59	0.371776	0.628224	39	1842.38	2.01702e-05
Multi-Family with 2 - 4 Units	WY	1960-79	0.746195	0.253805	16	1564.97	3.31318e-05
Multi-Family with 2 - 4 Units	WY	1980-99	0.355631	0.644369	69	1540.04	4.03246e-05
Multi-Family with 2 - 4 Units	WY	2000-09	0.324073	0.675927	26	1538.05	1.71393e-05
Multi-Family with 2 - 4 Units	WY	2010s	0.324073	0.675927	26	0	8.65581e-06
Multi-Family with 2 - 4 Units	WY	<1940	0.371776	0.628224	39	0	1.51508e-05
Multi-Family with 5+ Units	WY	1940-59	0.679583	0.320417	72	1164.49	1.34209e-05
Multi-Family with 5+ Units	WY	1960-79	0.715192	0.284808	34	13252	5.31301e-05
Multi-Family with 5+ Units	WY	1980-99	0.342393	0.657607	32	7812.99	5.21288e-05
Multi-Family with 5+ Units	WY	2000-09	0.190349	0.809651	13	3942.3	3.39422e-05
Multi-Family with 5+ Units	WY	2010s	0.537727	0.462273	20	1912.96	2.21613e-05
Multi-Family with 5+ Units	WY	<1940	0.679583	0.320417	72	3009.32	1.11625e-05
Single-Family Attached	WY	1940-59	0.100753	0.899247	40	210.676	4.11917e-06
Single-Family Attached	WY	1960-79	0	1	20	4583.23	1.54953e-05
Single-Family Attached	WY	1980-99	0.0556523	0.944348	27	3766.98	3.11643e-05
Single-Family Attached	WY	2000-09	0	1	22	2707.81	2.34108e-05
Single-Family Attached	WY	2010s	0	1	17	779.01	1.55646e-05
Single-Family Attached	WY	<1940	0.100753	0.899247	40	544.434	5.66755e-06
Single-Family Detached	WY	1940-59	0	1	42	33614.4	0.000234447
Single-Family Detached	WY	1960-79	0	1	48	49486	0.000331394
Single-Family Detached	WY	1980-99	0	1	27	28109.3	0.000290212
Single-Family Detached	WY	2000-09	0	1	11	11014.4	0.000196887
Single-Family Detached	WY	2010s	0	1	10	10423.3	7.30984e-05
Single-Family Detached	WY	<1940	0	1	26	22985.2	0.000185482
# Created by: sources\recs\recs2020\tsv_maker.py
# Description: Individual water heater present or not present in the dwelling unit that solely serves the specific dwelling unit.
# Source: Constructed using U.S. EIA 2020 Residential Energy Consumption Survey (RECS) microdata.
# Assumption: Single-Family Detached and Mobile Homes have in unit water heaters.
# Assumption: As Not Applicable option for Single-Family Attached option is 100%
# Assumption: Assuming Single-Family Attached in-unit water heater distribution from RECS 2009
# Assumption: Due to low sample sizes, fallback rules applied with lumping of:
# Assumption: [1] State: Census Division RECS
# Assumption: [2] Vintage ACS: Combining Vintage pre 1960s and post 2000
# Assumption: [3] State: Census Region
