,Heating Dry Bulb Temperature 99%,Cooling Dry Bulb Temperature 1%
Yeager,-9.2,31.7
Yeager,-9.2,31.7
Wheeling Ohio Co,-12.2,29.9
Huntington Tri Stat,-9.2,32.0
Mid Ohio Valley Rgn,-10.9,31.3
Yeager,-9.2,31.7
Harrison Marion Rgn,-11.0,30.9
Beckley Raleigh Ct,-11.4,28.1
Mid Ohio Valley Rgn,-10.9,31.3
Elkins Randolph Cou,-13.6,29.1
Greenbrier Valley,-11.2,28.7
Winchester Rgnl,-7.7,32.7
Wheeling Ohio Co,-12.2,29.9
Elkins Randolph Cou,-13.6,29.1
Harrison Marion Rgn,-11.0,30.9
Yeager,-9.2,31.7
Eastern Wv Rgnl She,-9.0,32.4
Yeager,-9.2,31.7
Harrison Marion Rgn,-11.0,30.9
Yeager,-9.2,31.7
Yeager,-9.2,31.7
Mercer Co,-10.8,28.5
Harrison Marion Rgn,-11.0,30.9
Wheeling Ohio Co,-12.2,29.9
Yeager,-9.2,31.7
Mercer Co,-10.8,28.5
Winchester Rgnl,-7.7,32.7
Huntington Tri Stat,-9.2,32.0
Morgantown Muni Wal,-11.0,30.8
Greenbrier Valley,-11.2,28.7
Eastern Wv Rgnl She,-9.0,32.4
Yeager,-9.2,31.7
Wheeling Ohio Co,-12.2,29.9
Elkins Randolph Cou,-13.6,29.1
Mid Ohio Valley Rgn,-10.9,31.3
Ingalls Fld,-13.9,27.1
Morgantown Muni Wal,-11.0,30.8
Yeager,-9.2,31.7
Beckley Raleigh Ct,-11.4,28.1
Elkins Randolph Cou,-13.6,29.1
Mid Ohio Valley Rgn,-10.9,31.3
Yeager,-9.2,31.7
Beckley Raleigh Ct,-11.4,28.1
Harrison Marion Rgn,-11.0,30.9
Elkins Randolph Cou,-13.6,29.1
Mid Ohio Valley Rgn,-10.9,31.3
Harrison Marion Rgn,-11.0,30.9
Huntington Tri Stat,-9.2,32.0
Ingalls Fld,-13.9,27.1
Wheeling Ohio Co,-12.2,29.9
Mid Ohio Valley Rgn,-10.9,31.3
Mid Ohio Valley Rgn,-10.9,31.3
Mercer Co,-10.8,28.5
Alexander Fld South,-20.9,29.1
J F Kennedy Memorial,-22.1,28.7
Rice Lake Rgnl Carls,-22.5,29.0
J F Kennedy Memorial,-22.1,28.7
Green Bay A Straub,-19.4,29.6
Winona Muni Conrad F,-20.2,31.2
Rush City Rgnl,-22.1,29.9
Outagamie Co Rgnl,-18.3,29.1
Chippewa Valley Rgn,-22.4,30.7
Marshfield Muni,-22.1,28.8
Madison Dane County,-18.6,30.4
Prairie Du Chien Mun,-18.0,30.1
Madison Dane County,-18.6,30.4
Dodge Co,-17.7,29.0
Door Co Cherryland,-17.8,27.5
Richard I Bong,-22.4,28.0
Chippewa Valley Rgn,-22.4,30.7
Chippewa Valley Rgn,-22.4,30.7
Ford,-21.3,29.0
Fond Du Lac Co,-17.8,29.1
Langlade Co,-22.6,27.7
Boscobel,-19.1,31.3
Monroe Muni,-17.8,29.9
Wittman Rgnl,-18.0,29.1
Iowa Co,-18.0,29.1
Gocebic Iron Co,-22.4,27.9
Spart Fort Mc Coy,-22.1,31.1
Watertown Muni,-23.5,30.3
Baraboo Wisc Dells,-18.8,29.9
Kenosha Rgnl,-16.2,30.6
Door Co Cherryland,-17.8,27.5
La Crosse Municipal,-20.3,31.6
Iowa Co,-18.0,29.1
Langlade Co,-22.6,27.7
Merrill Muni,-22.8,27.7
Manitowoc Co,-17.5,27.6
Wausau Downtown,-21.6,29.2
Menominee Marinette,-19.0,28.0
Baraboo Wisc Dells,-18.8,29.9
Clintonville Muni,-18.9,30.1
Milwaukee Gen Mitc,-16.0,30.3
Spart Fort Mc Coy,-22.1,31.1
Green Bay A Straub,-19.4,29.6
Rhinelander Oneida,-22.6,28.0
Outagamie Co Rgnl,-18.3,29.1
West Bend Muni,-17.3,29.1
Red Wing Rgnl,-22.3,31.1
Red Wing Rgnl,-22.3,31.1
L O Simenstad Muni,-22.3,30.0
Stevens Point Muni,-21.0,30.0
Park Falls Muni,-24.1,27.6
John H Batten,-16.1,29.1
Boscobel,-19.1,31.3
Southern Wisc Rgnl,-17.5,31.2
Rice Lake Rgnl Carls,-22.5,29.0
L O Simenstad Muni,-22.3,30.0
Baraboo Wisc Dells,-18.8,29.9
Sawyer Co,-24.1,29.1
Clintonville Muni,-18.9,30.1
Sheboygan Co Mem,-17.4,28.9
Taylor Co,-22.0,28.0
Winona Muni Conrad F,-20.2,31.2
Spart Fort Mc Coy,-22.1,31.1
Lakeland Noble F Le,-22.2,27.6
Waukesha Co,-17.0,30.1
Rice Lake Rgnl Carls,-22.5,29.0
West Bend Muni,-17.3,29.1
Waukesha Co,-17.0,30.1
Clintonville Muni,-18.9,30.1
Stevens Point Muni,-21.0,30.0
Wittman Rgnl,-18.0,29.1
Alexander Fld South,-20.9,29.1
Laramie Rgnl,-19.3,27.8
South Big Horn Co,-21.2,34.8
Gillette Gillette C,-19.1,33.0
Rawlins Municipal,-17.8,30.9
Converse Co,-17.9,33.7
Gillette Gillette C,-19.1,33.0
Riverton,-18.8,32.1
Torrington Muni,-17.1,34.0
Worland Muni,-22.0,33.8
Johnson Co,-17.6,32.4
Cheyenne Warren Afb,-16.2,30.4
Big Piney Amos,-24.0,27.9
Casper Natrona Coun,-18.2,32.8
Torrington Muni,-17.1,34.0
Cody Muni Awos,-19.6,31.1
Torrington Muni,-17.1,34.0
Sheridan Co Arpt,-20.0,33.1
Big Piney Amos,-24.0,27.9
Rock Springs Sweetw,-17.3,29.5
Jackson Hole,-22.8,27.5
Logan Cache,-17.5,32.9
Worland Muni,-22.0,33.8
Custer County,-18.6,28.7
