Dependency=Geometry Building Type	Dependency=Vintage	Dependency=Location Region	Dependency=Geometry Foundation Type	Option=Uninsulated	Option=Ceiling R-13	Option=Ceiling R-19	Option=None
Multi-Family with 5+ Units	2010s	CR08	Slab	0	0	0	1
Mobile Home	2010s	CR08	Slab	0	0	0	1
Single-Family Detached	<1940	CR09	Slab	0	0	0	1
Single-Family Attached	<1940	CR09	Slab	0	0	0	1
Multi-Family with 2 - 4 Units	<1940	CR09	Slab	0	0	0	1
Multi-Family with 5+ Units	<1940	CR09	Slab	0	0	0	1
Mobile Home	<1940	CR09	Slab	0	0	0	1
Single-Family Detached	1940s	CR09	Slab	0	0	0	1
Single-Family Attached	1940s	CR09	Slab	0	0	0	1
Multi-Family with 2 - 4 Units	1940s	CR09	Slab	0	0	0	1
Multi-Family with 5+ Units	1940s	CR09	Slab	0	0	0	1
Mobile Home	1940s	CR09	Slab	0	0	0	1
Single-Family Detached	1950s	CR09	Slab	0	0	0	1
Single-Family Attached	1950s	CR09	Slab	0	0	0	1
Multi-Family with 2 - 4 Units	1950s	CR09	Slab	0	0	0	1
Multi-Family with 5+ Units	1950s	CR09	Slab	0	0	0	1
Mobile Home	1950s	CR09	Slab	0	0	0	1
Single-Family Detached	1960s	CR09	Slab	0	0	0	1
Single-Family Attached	1960s	CR09	Slab	0	0	0	1
Multi-Family with 2 - 4 Units	1960s	CR09	Slab	0	0	0	1
Multi-Family with 5+ Units	1960s	CR09	Slab	0	0	0	1
Mobile Home	1960s	CR09	Slab	0	0	0	1
Single-Family Detached	1970s	CR09	Slab	0	0	0	1
Single-Family Attached	1970s	CR09	Slab	0	0	0	1
Multi-Family with 2 - 4 Units	1970s	CR09	Slab	0	0	0	1
Multi-Family with 5+ Units	1970s	CR09	Slab	0	0	0	1
Mobile Home	1970s	CR09	Slab	0	0	0	1
Single-Family Detached	1980s	CR09	Slab	0	0	0	1
Single-Family Attached	1980s	CR09	Slab	0	0	0	1
Multi-Family with 2 - 4 Units	1980s	CR09	Slab	0	0	0	1
Multi-Family with 5+ Units	1980s	CR09	Slab	0	0	0	1
Mobile Home	1980s	CR09	Slab	0	0	0	1
Single-Family Detached	1990s	CR09	Slab	0	0	0	1
Single-Family Attached	1990s	CR09	Slab	0	0	0	1
Multi-Family with 2 - 4 Units	1990s	CR09	Slab	0	0	0	1
Multi-Family with 5+ Units	1990s	CR09	Slab	0	0	0	1
Mobile Home	1990s	CR09	Slab	0	0	0	1
Single-Family Detached	2000s	CR09	Slab	0	0	0	1
Single-Family Attached	2000s	CR09	Slab	0	0	0	1
Multi-Family with 2 - 4 Units	2000s	CR09	Slab	0	0	0	1
Multi-Family with 5+ Units	2000s	CR09	Slab	0	0	0	1
Mobile Home	2000s	CR09	Slab	0	0	0	1
Single-Family Detached	2010s	CR09	Slab	0	0	0	1
Single-Family Attached	2010s	CR09	Slab	0	0	0	1
Multi-Family with 2 - 4 Units	2010s	CR09	Slab	0	0	0	1
Multi-Family with 5+ Units	2010s	CR09	Slab	0	0	0	1
Mobile Home	2010s	CR09	Slab	0	0	0	1
Single-Family Detached	<1940	CR10	Slab	0	0	0	1
Single-Family Attached	<1940	CR10	Slab	0	0	0	1
Multi-Family with 2 - 4 Units	<1940	CR10	Slab	0	0	0	1
Multi-Family with 5+ Units	<1940	CR10	Slab	0	0	0	1
Mobile Home	<1940	CR10	Slab	0	0	0	1
Single-Family Detached	1940s	CR10	Slab	0	0	0	1
Single-Family Attached	1940s	CR10	Slab	0	0	0	1
Multi-Family with 2 - 4 Units	1940s	CR10	Slab	0	0	0	1
Multi-Family with 5+ Units	1940s	CR10	Slab	0	0	0	1
Mobile Home	1940s	CR10	Slab	0	0	0	1
Single-Family Detached	1950s	CR10	Slab	0	0	0	1
Single-Family Attached	1950s	CR10	Slab	0	0	0	1
Multi-Family with 2 - 4 Units	1950s	CR10	Slab	0	0	0	1
Multi-Family with 5+ Units	1950s	CR10	Slab	0	0	0	1
Mobile Home	1950s	CR10	Slab	0	0	0	1
Single-Family Detached	1960s	CR10	Slab	0	0	0	1
Single-Family Attached	1960s	CR10	Slab	0	0	0	1
Multi-Family with 2 - 4 Units	1960s	CR10	Slab	0	0	0	1
Multi-Family with 5+ Units	1960s	CR10	Slab	0	0	0	1
Mobile Home	1960s	CR10	Slab	0	0	0	1
Single-Family Detached	1970s	CR10	Slab	0	0	0	1
Single-Family Attached	1970s	CR10	Slab	0	0	0	1
Multi-Family with 2 - 4 Units	1970s	CR10	Slab	0	0	0	1
Multi-Family with 5+ Units	1970s	CR10	Slab	0	0	0	1
Mobile Home	1970s	CR10	Slab	0	0	0	1
Single-Family Detached	1980s	CR10	Slab	0	0	0	1
Single-Family Attached	1980s	CR10	Slab	0	0	0	1
Multi-Family with 2 - 4 Units	1980s	CR10	Slab	0	0	0	1
Multi-Family with 5+ Units	1980s	CR10	Slab	0	0	0	1
Mobile Home	1980s	CR10	Slab	0	0	0	1
Single-Family Detached	1990s	CR10	Slab	0	0	0	1
Single-Family Attached	1990s	CR10	Slab	0	0	0	1
Multi-Family with 2 - 4 Units	1990s	CR10	Slab	0	0	0	1
Multi-Family with 5+ Units	1990s	CR10	Slab	0	0	0	1
Mobile Home	1990s	CR10	Slab	0	0	0	1
Single-Family Detached	2000s	CR10	Slab	0	0	0	1
Single-Family Attached	2000s	CR10	Slab	0	0	0	1
Multi-Family with 2 - 4 Units	2000s	CR10	Slab	0	0	0	1
Multi-Family with 5+ Units	2000s	CR10	Slab	0	0	0	1
Mobile Home	2000s	CR10	Slab	0	0	0	1
Single-Family Detached	2010s	CR10	Slab	0	0	0	1
Single-Family Attached	2010s	CR10	Slab	0	0	0	1
Multi-Family with 2 - 4 Units	2010s	CR10	Slab	0	0	0	1
Multi-Family with 5+ Units	2010s	CR10	Slab	0	0	0	1
Mobile Home	2010s	CR10	Slab	0	0	0	1
Single-Family Detached	<1940	CR11	Slab	0	0	0	1
Single-Family Attached	<1940	CR11	Slab	0	0	0	1
Multi-Family with 2 - 4 Units	<1940	CR11	Slab	0	0	0	1
Multi-Family with 5+ Units	<1940	CR11	Slab	0	0	0	1
Mobile Home	<1940	CR11	Slab	0	0	0	1
Single-Family Detached	1940s	CR11	Slab	0	0	0	1
Single-Family Attached	1940s	CR11	Slab	0	0	0	1
Multi-Family with 2 - 4 Units	1940s	CR11	Slab	0	0	0	1
Multi-Family with 5+ Units	1940s	CR11	Slab	0	0	0	1
Mobile Home	1940s	CR11	Slab	0	0	0	1
Single-Family Detached	1950s	CR11	Slab	0	0	0	1
Single-Family Attached	1950s	CR11	Slab	0	0	0	1
Multi-Family with 2 - 4 Units	1950s	CR11	Slab	0	0	0	1
Multi-Family with 5+ Units	1950s	CR11	Slab	0	0	0	1
Mobile Home	1950s	CR11	Slab	0	0	0	1
Single-Family Detached	1960s	CR11	Slab	0	0	0	1
Single-Family Attached	1960s	CR11	Slab	0	0	0	1
Multi-Family with 2 - 4 Units	1960s	CR11	Slab	0	0	0	1
Multi-Family with 5+ Units	1960s	CR11	Slab	0	0	0	1
Mobile Home	1960s	CR11	Slab	0	0	0	1
Single-Family Detached	1970s	CR11	Slab	0	0	0	1
Single-Family Attached	1970s	CR11	Slab	0	0	0	1
Multi-Family with 2 - 4 Units	1970s	CR11	Slab	0	0	0	1
Multi-Family with 5+ Units	1970s	CR11	Slab	0	0	0	1
Mobile Home	1970s	CR11	Slab	0	0	0	1
Single-Family Detached	1980s	CR11	Slab	0	0	0	1
Single-Family Attached	1980s	CR11	Slab	0	0	0	1
Multi-Family with 2 - 4 Units	1980s	CR11	Slab	0	0	0	1
Multi-Family with 5+ Units	1980s	CR11	Slab	0	0	0	1
Mobile Home	1980s	CR11	Slab	0	0	0	1
Single-Family Detached	1990s	CR11	Slab	0	0	0	1
Single-Family Attached	1990s	CR11	Slab	0	0	0	1
Multi-Family with 2 - 4 Units	1990s	CR11	Slab	0	0	0	1
Multi-Family with 5+ Units	1990s	CR11	Slab	0	0	0	1
Mobile Home	1990s	CR11	Slab	0	0	0	1
Single-Family Detached	2000s	CR11	Slab	0	0	0	1
Single-Family Attached	2000s	CR11	Slab	0	0	0	1
Multi-Family with 2 - 4 Units	2000s	CR11	Slab	0	0	0	1
Multi-Family with 5+ Units	2000s	CR11	Slab	0	0	0	1
Mobile Home	2000s	CR11	Slab	0	0	0	1
Single-Family Detached	2010s	CR11	Slab	0	0	0	1
Single-Family Attached	2010s	CR11	Slab	0	0	0	1
Multi-Family with 2 - 4 Units	2010s	CR11	Slab	0	0	0	1
Multi-Family with 5+ Units	2010s	CR11	Slab	0	0	0	1
Mobile Home	2010s	CR11	Slab	0	0	0	1
Single-Family Detached	<1940	CR02	Unheated Basement	1	0	0	0
Single-Family Attached	<1940	CR02	Unheated Basement	1	0	0	0
Multi-Family with 2 - 4 Units	<1940	CR02	Unheated Basement	1	0	0	0
Multi-Family with 5+ Units	<1940	CR02	Unheated Basement	1	0	0	0
Mobile Home	<1940	CR02	Unheated Basement	1	0	0	0
Single-Family Detached	1940s	CR02	Unheated Basement	1	0	0	0
Single-Family Attached	1940s	CR02	Unheated Basement	1	0	0	0
Multi-Family with 2 - 4 Units	1940s	CR02	Unheated Basement	1	0	0	0
Multi-Family with 5+ Units	1940s	CR02	Unheated Basement	1	0	0	0
Mobile Home	1940s	CR02	Unheated Basement	1	0	0	0
Single-Family Detached	1950s	CR02	Unheated Basement	1	0	0	0
Single-Family Attached	1950s	CR02	Unheated Basement	1	0	0	0
Multi-Family with 2 - 4 Units	1950s	CR02	Unheated Basement	1	0	0	0
Multi-Family with 5+ Units	1950s	CR02	Unheated Basement	1	0	0	0
Mobile Home	1950s	CR02	Unheated Basement	1	0	0	0
Single-Family Detached	1960s	CR02	Unheated Basement	1	0	0	0
Single-Family Attached	1960s	CR02	Unheated Basement	1	0	0	0
Multi-Family with 2 - 4 Units	1960s	CR02	Unheated Basement	1	0	0	0
Multi-Family with 5+ Units	1960s	CR02	Unheated Basement	1	0	0	0
Mobile Home	1960s	CR02	Unheated Basement	1	0	0	0
Single-Family Detached	1970s	CR02	Unheated Basement	1	0	0	0
Single-Family Attached	1970s	CR02	Unheated Basement	1	0	0	0
Multi-Family with 2 - 4 Units	1970s	CR02	Unheated Basement	1	0	0	0
Multi-Family with 5+ Units	1970s	CR02	Unheated Basement	1	0	0	0
Mobile Home	1970s	CR02	Unheated Basement	1	0	0	0
Single-Family Detached	1980s	CR02	Unheated Basement	0.45	0.2	0.35	0
Single-Family Attached	1980s	CR02	Unheated Basement	0.45	0.2	0.35	0
Multi-Family with 2 - 4 Units	1980s	CR02	Unheated Basement	0.45	0.2	0.35	0
Multi-Family with 5+ Units	1980s	CR02	Unheated Basement	0.45	0.2	0.35	0
Mobile Home	1980s	CR02	Unheated Basement	0.45	0.2	0.35	0
Single-Family Detached	1990s	CR02	Unheated Basement	0.13	0.46	0.41	0
Single-Family Attached	1990s	CR02	Unheated Basement	0.13	0.46	0.41	0
Multi-Family with 2 - 4 Units	1990s	CR02	Unheated Basement	0.13	0.46	0.41	0
Multi-Family with 5+ Units	1990s	CR02	Unheated Basement	0.13	0.46	0.41	0
Mobile Home	1990s	CR02	Unheated Basement	0.13	0.46	0.41	0
Single-Family Detached	2000s	CR02	Unheated Basement	0.02	0.35	0.64	0
Single-Family Attached	2000s	CR02	Unheated Basement	0.02	0.35	0.64	0
Multi-Family with 2 - 4 Units	2000s	CR02	Unheated Basement	0.02	0.35	0.64	0
Multi-Family with 5+ Units	2000s	CR02	Unheated Basement	0.02	0.35	0.64	0
Mobile Home	2000s	CR02	Unheated Basement	0.02	0.35	0.64	0
Single-Family Detached	2010s	CR02	Unheated Basement	0.02	0.35	0.64	0
Single-Family Attached	2010s	CR02	Unheated Basement	0.02	0.35	0.64	0
Multi-Family with 2 - 4 Units	2010s	CR02	Unheated Basement	0.02	0.35	0.64	0
Multi-Family with 5+ Units	2010s	CR02	Unheated Basement	0.02	0.35	0.64	0
Mobile Home	2010s	CR02	Unheated Basement	0.02	0.35	0.64	0
Single-Family Detached	<1940	CR03	Unheated Basement	1	0	0	0
Single-Family Attached	<1940	CR03	Unheated Basement	1	0	0	0
Multi-Family with 2 - 4 Units	<1940	CR03	Unheated Basement	1	0	0	0
Multi-Family with 5+ Units	<1940	CR03	Unheated Basement	1	0	0	0
Mobile Home	<1940	CR03	Unheated Basement	1	0	0	0
Single-Family Detached	1940s	CR03	Unheated Basement	1	0	0	0
Single-Family Attached	1940s	CR03	Unheated Basement	1	0	0	0
Multi-Family with 2 - 4 Units	1940s	CR03	Unheated Basement	1	0	0	0
Multi-Family with 5+ Units	1940s	CR03	Unheated Basement	1	0	0	0
Mobile Home	1940s	CR03	Unheated Basement	1	0	0	0
Single-Family Detached	1950s	CR03	Unheated Basement	1	0	0	0
Single-Family Attached	1950s	CR03	Unheated Basement	1	0	0	0
Multi-Family with 2 - 4 Units	1950s	CR03	Unheated Basement	1	0	0	0
Multi-Family with 5+ Units	1950s	CR03	Unheated Basement	1	0	0	0
Mobile Home	1950s	CR03	Unheated Basement	1	0	0	0
Single-Family Detached	1960s	CR03	Unheated Basement	1	0	0	0
Single-Family Attached	1960s	CR03	Unheated Basement	1	0	0	0
Multi-Family with 2 - 4 Units	1960s	CR03	Unheated Basement	1	0	0	0
Multi-Family with 5+ Units	1960s	CR03	Unheated Basement	1	0	0	0
Mobile Home	1960s	CR03	Unheated Basement	1	0	0	0
Single-Family Detached	1970s	CR03	Unheated Basement	1	0	0	0
Single-Family Attached	1970s	CR03	Unheated Basement	1	0	0	0
Multi-Family with 2 - 4 Units	1970s	CR03	Unheated Basement	1	0	0	0
Multi-Family with 5+ Units	1970s	CR03	Unheated Basement	1	0	0	0
Mobile Home	1970s	CR03	Unheated Basement	1	0	0	0
Single-Family Detached	1980s	CR03	Unheated Basement	0.26	0.33	0.41	0
Single-Family Attached	1980s	CR03	Unheated Basement	0.26	0.33	0.41	0
Multi-Family with 2 - 4 Units	1980s	CR03	Unheated Basement	0.26	0.33	0.41	0
Multi-Family with 5+ Units	1980s	CR03	Unheated Basement	0.26	0.33	0.41	0
Mobile Home	1980s	CR03	Unheated Basement	0.26	0.33	0.41	0
Single-Family Detached	1990s	CR03	Unheated Basement	0.02	0.28	0.7	0
Single-Family Attached	1990s	CR03	Unheated Basement	0.02	0.28	0.7	0
Multi-Family with 2 - 4 Units	1990s	CR03	Unheated Basement	0.02	0.28	0.7	0
Multi-Family with 5+ Units	1990s	CR03	Unheated Basement	0.02	0.28	0.7	0
Mobile Home	1990s	CR03	Unheated Basement	0.02	0.28	0.7	0
Single-Family Detached	2000s	CR03	Unheated Basement	0.04	0.23	0.73	0
Single-Family Attached	2000s	CR03	Unheated Basement	0.04	0.23	0.73	0
Multi-Family with 2 - 4 Units	2000s	CR03	Unheated Basement	0.04	0.23	0.73	0
Multi-Family with 5+ Units	2000s	CR03	Unheated Basement	0.04	0.23	0.73	0
Mobile Home	2000s	CR03	Unheated Basement	0.04	0.23	0.73	0
Single-Family Detached	2010s	CR03	Unheated Basement	0.04	0.23	0.73	0
Single-Family Attached	2010s	CR03	Unheated Basement	0.04	0.23	0.73	0
Multi-Family with 2 - 4 Units	2010s	CR03	Unheated Basement	0.04	0.23	0.73	0
Multi-Family with 5+ Units	2010s	CR03	Unheated Basement	0.04	0.23	0.73	0
Mobile Home	2010s	CR03	Unheated Basement	0.04	0.23	0.73	0
Single-Family Detached	<1940	CR04	Unheated Basement	1	0	0	0
Single-Family Attached	<1940	CR04	Unheated Basement	1	0	0	0
Multi-Family with 2 - 4 Units	<1940	CR04	Unheated Basement	1	0	0	0
Multi-Family with 5+ Units	<1940	CR04	Unheated Basement	1	0	0	0
Mobile Home	<1940	CR04	Unheated Basement	1	0	0	0
Single-Family Detached	1940s	CR04	Unheated Basement	1	0	0	0
Single-Family Attached	1940s	CR04	Unheated Basement	1	0	0	0
Multi-Family with 2 - 4 Units	1940s	CR04	Unheated Basement	1	0	0	0
Multi-Family with 5+ Units	1940s	CR04	Unheated Basement	1	0	0	0
Mobile Home	1940s	CR04	Unheated Basement	1	0	0	0
Single-Family Detached	1950s	CR04	Unheated Basement	1	0	0	0
Single-Family Attached	1950s	CR04	Unheated Basement	1	0	0	0
Multi-Family with 2 - 4 Units	1950s	CR04	Unheated Basement	1	0	0	0
Multi-Family with 5+ Units	1950s	CR04	Unheated Basement	1	0	0	0
Mobile Home	1950s	CR04	Unheated Basement	1	0	0	0
Single-Family Detached	1960s	CR04	Unheated Basement	1	0	0	0
Single-Family Attached	1960s	CR04	Unheated Basement	1	0	0	0
Multi-Family with 2 - 4 Units	1960s	CR04	Unheated Basement	1	0	0	0
Multi-Family with 5+ Units	1960s	CR04	Unheated Basement	1	0	0	0
Mobile Home	1960s	CR04	Unheated Basement	1	0	0	0
Single-Family Detached	1970s	CR04	Unheated Basement	1	0	0	0
Single-Family Attached	1970s	CR04	Unheated Basement	1	0	0	0
Multi-Family with 2 - 4 Units	1970s	CR04	Unheated Basement	1	0	0	0
Multi-Family with 5+ Units	1970s	CR04	Unheated Basement	1	0	0	0
Mobile Home	1970s	CR04	Unheated Basement	1	0	0	0
Single-Family Detached	1980s	CR04	Unheated Basement	0.39	0.27	0.34	0
Single-Family Attached	1980s	CR04	Unheated Basement	0.39	0.27	0.34	0
Multi-Family with 2 - 4 Units	1980s	CR04	Unheated Basement	0.39	0.27	0.34	0
Multi-Family with 5+ Units	1980s	CR04	Unheated Basement	0.39	0.27	0.34	0
Mobile Home	1980s	CR04	Unheated Basement	0.39	0.27	0.34	0
Single-Family Detached	1990s	CR04	Unheated Basement	0.07	0.81	0.12	0
Single-Family Attached	1990s	CR04	Unheated Basement	0.07	0.81	0.12	0
Multi-Family with 2 - 4 Units	1990s	CR04	Unheated Basement	0.07	0.81	0.12	0
Multi-Family with 5+ Units	1990s	CR04	Unheated Basement	0.07	0.81	0.12	0
Mobile Home	1990s	CR04	Unheated Basement	0.07	0.81	0.12	0
Single-Family Detached	2000s	CR04	Unheated Basement	0.32	0.37	0.31	0
Single-Family Attached	2000s	CR04	Unheated Basement	0.32	0.37	0.31	0
Multi-Family with 2 - 4 Units	2000s	CR04	Unheated Basement	0.32	0.37	0.31	0
Multi-Family with 5+ Units	2000s	CR04	Unheated Basement	0.32	0.37	0.31	0
Mobile Home	2000s	CR04	Unheated Basement	0.32	0.37	0.31	0
Single-Family Detached	2010s	CR04	Unheated Basement	0.32	0.37	0.31	0
Single-Family Attached	2010s	CR04	Unheated Basement	0.32	0.37	0.31	0
Multi-Family with 2 - 4 Units	2010s	CR04	Unheated Basement	0.32	0.37	0.31	0
Multi-Family with 5+ Units	2010s	CR04	Unheated Basement	0.32	0.37	0.31	0
Mobile Home	2010s	CR04	Unheated Basement	0.32	0.37	0.31	0
Single-Family Detached	<1940	CR05	Unheated Basement	1	0	0	0
Single-Family Attached	<1940	CR05	Unheated Basement	1	0	0	0
Multi-Family with 2 - 4 Units	<1940	CR05	Unheated Basement	1	0	0	0
Multi-Family with 5+ Units	<1940	CR05	Unheated Basement	1	0	0	0
Mobile Home	<1940	CR05	Unheated Basement	1	0	0	0
Single-Family Detached	1940s	CR05	Unheated Basement	1	0	0	0
Single-Family Attached	1940s	CR05	Unheated Basement	1	0	0	0
Multi-Family with 2 - 4 Units	1940s	CR05	Unheated Basement	1	0	0	0
Multi-Family with 5+ Units	1940s	CR05	Unheated Basement	1	0	0	0
Mobile Home	1940s	CR05	Unheated Basement	1	0	0	0
Single-Family Detached	1950s	CR05	Unheated Basement	1	0	0	0
Single-Family Attached	1950s	CR05	Unheated Basement	1	0	0	0
Multi-Family with 2 - 4 Units	1950s	CR05	Unheated Basement	1	0	0	0
Multi-Family with 5+ Units	1950s	CR05	Unheated Basement	1	0	0	0
Mobile Home	1950s	CR05	Unheated Basement	1	0	0	0
Single-Family Detached	1960s	CR05	Unheated Basement	1	0	0	0
Single-Family Attached	1960s	CR05	Unheated Basement	1	0	0	0
Multi-Family with 2 - 4 Units	1960s	CR05	Unheated Basement	1	0	0	0
Multi-Family with 5+ Units	1960s	CR05	Unheated Basement	1	0	0	0
Mobile Home	1960s	CR05	Unheated Basement	1	0	0	0
Single-Family Detached	1970s	CR05	Unheated Basement	1	0	0	0
Single-Family Attached	1970s	CR05	Unheated Basement	1	0	0	0
Multi-Family with 2 - 4 Units	1970s	CR05	Unheated Basement	1	0	0	0
Multi-Family with 5+ Units	1970s	CR05	Unheated Basement	1	0	0	0
Mobile Home	1970s	CR05	Unheated Basement	1	0	0	0
Single-Family Detached	1980s	CR05	Unheated Basement	0.63	0.1	0.27	0
Single-Family Attached	1980s	CR05	Unheated Basement	0.63	0.1	0.27	0
Multi-Family with 2 - 4 Units	1980s	CR05	Unheated Basement	0.63	0.1	0.27	0
Multi-Family with 5+ Units	1980s	CR05	Unheated Basement	0.63	0.1	0.27	0
Mobile Home	1980s	CR05	Unheated Basement	0.63	0.1	0.27	0
Single-Family Detached	1990s	CR05	Unheated Basement	0.02	0.2	0.78	0
Single-Family Attached	1990s	CR05	Unheated Basement	0.02	0.2	0.78	0
Multi-Family with 2 - 4 Units	1990s	CR05	Unheated Basement	0.02	0.2	0.78	0
Multi-Family with 5+ Units	1990s	CR05	Unheated Basement	0.02	0.2	0.78	0
Mobile Home	1990s	CR05	Unheated Basement	0.02	0.2	0.78	0
Single-Family Detached	2000s	CR05	Unheated Basement	0.02	0.15	0.83	0
Single-Family Attached	2000s	CR05	Unheated Basement	0.02	0.15	0.83	0
Multi-Family with 2 - 4 Units	2000s	CR05	Unheated Basement	0.02	0.15	0.83	0
Multi-Family with 5+ Units	2000s	CR05	Unheated Basement	0.02	0.15	0.83	0
Mobile Home	2000s	CR05	Unheated Basement	0.02	0.15	0.83	0
Single-Family Detached	2010s	CR05	Unheated Basement	0.02	0.15	0.83	0
Single-Family Attached	2010s	CR05	Unheated Basement	0.02	0.15	0.83	0
Multi-Family with 2 - 4 Units	2010s	CR05	Unheated Basement	0.02	0.15	0.83	0
Multi-Family with 5+ Units	2010s	CR05	Unheated Basement	0.02	0.15	0.83	0
Mobile Home	2010s	CR05	Unheated Basement	0.02	0.15	0.83	0
Single-Family Detached	<1940	CR06	Unheated Basement	1	0	0	0
Single-Family Attached	<1940	CR06	Unheated Basement	1	0	0	0
Multi-Family with 2 - 4 Units	<1940	CR06	Unheated Basement	1	0	0	0
Multi-Family with 5+ Units	<1940	CR06	Unheated Basement	1	0	0	0
Mobile Home	<1940	CR06	Unheated Basement	1	0	0	0
Single-Family Detached	1940s	CR06	Unheated Basement	1	0	0	0
Single-Family Attached	1940s	CR06	Unheated Basement	1	0	0	0
Multi-Family with 2 - 4 Units	1940s	CR06	Unheated Basement	1	0	0	0
Multi-Family with 5+ Units	1940s	CR06	Unheated Basement	1	0	0	0
Mobile Home	1940s	CR06	Unheated Basement	1	0	0	0
Single-Family Detached	1950s	CR06	Unheated Basement	1	0	0	0
Single-Family Attached	1950s	CR06	Unheated Basement	1	0	0	0
Multi-Family with 2 - 4 Units	1950s	CR06	Unheated Basement	1	0	0	0
Multi-Family with 5+ Units	1950s	CR06	Unheated Basement	1	0	0	0
Mobile Home	1950s	CR06	Unheated Basement	1	0	0	0
Single-Family Detached	1960s	CR06	Unheated Basement	1	0	0	0
Single-Family Attached	1960s	CR06	Unheated Basement	1	0	0	0
Multi-Family with 2 - 4 Units	1960s	CR06	Unheated Basement	1	0	0	0
Multi-Family with 5+ Units	1960s	CR06	Unheated Basement	1	0	0	0
Mobile Home	1960s	CR06	Unheated Basement	1	0	0	0
Single-Family Detached	1970s	CR06	Unheated Basement	1	0	0	0
Single-Family Attached	1970s	CR06	Unheated Basement	1	0	0	0
Multi-Family with 2 - 4 Units	1970s	CR06	Unheated Basement	1	0	0	0
Multi-Family with 5+ Units	1970s	CR06	Unheated Basement	1	0	0	0
Mobile Home	1970s	CR06	Unheated Basement	1	0	0	0
Single-Family Detached	1980s	CR06	Unheated Basement	0.13	0.19	0.67	0
Single-Family Attached	1980s	CR06	Unheated Basement	0.13	0.19	0.67	0
Multi-Family with 2 - 4 Units	1980s	CR06	Unheated Basement	0.13	0.19	0.67	0
Multi-Family with 5+ Units	1980s	CR06	Unheated Basement	0.13	0.19	0.67	0
Mobile Home	1980s	CR06	Unheated Basement	0.13	0.19	0.67	0
Single-Family Detached	1990s	CR06	Unheated Basement	0.01	0.09	0.91	0
Single-Family Attached	1990s	CR06	Unheated Basement	0.01	0.09	0.91	0
Multi-Family with 2 - 4 Units	1990s	CR06	Unheated Basement	0.01	0.09	0.91	0
Multi-Family with 5+ Units	1990s	CR06	Unheated Basement	0.01	0.09	0.91	0
Mobile Home	1990s	CR06	Unheated Basement	0.01	0.09	0.91	0
Single-Family Detached	2000s	CR06	Unheated Basement	0.03	0.14	0.83	0
Single-Family Attached	2000s	CR06	Unheated Basement	0.03	0.14	0.83	0
Multi-Family with 2 - 4 Units	2000s	CR06	Unheated Basement	0.03	0.14	0.83	0
Multi-Family with 5+ Units	2000s	CR06	Unheated Basement	0.03	0.14	0.83	0
Mobile Home	2000s	CR06	Unheated Basement	0.03	0.14	0.83	0
Single-Family Detached	2010s	CR06	Unheated Basement	0.03	0.14	0.83	0
Single-Family Attached	2010s	CR06	Unheated Basement	0.03	0.14	0.83	0
Multi-Family with 2 - 4 Units	2010s	CR06	Unheated Basement	0.03	0.14	0.83	0
Multi-Family with 5+ Units	2010s	CR06	Unheated Basement	0.03	0.14	0.83	0
Mobile Home	2010s	CR06	Unheated Basement	0.03	0.14	0.83	0
Single-Family Detached	<1940	CR07	Unheated Basement	1	0	0	0
Single-Family Attached	<1940	CR07	Unheated Basement	1	0	0	0
Multi-Family with 2 - 4 Units	<1940	CR07	Unheated Basement	1	0	0	0
Multi-Family with 5+ Units	<1940	CR07	Unheated Basement	1	0	0	0
Mobile Home	<1940	CR07	Unheated Basement	1	0	0	0
Single-Family Detached	1940s	CR07	Unheated Basement	1	0	0	0
Single-Family Attached	1940s	CR07	Unheated Basement	1	0	0	0
Multi-Family with 2 - 4 Units	1940s	CR07	Unheated Basement	1	0	0	0
Multi-Family with 5+ Units	1940s	CR07	Unheated Basement	1	0	0	0
Mobile Home	1940s	CR07	Unheated Basement	1	0	0	0
Single-Family Detached	1950s	CR07	Unheated Basement	1	0	0	0
Single-Family Attached	1950s	CR07	Unheated Basement	1	0	0	0
Multi-Family with 2 - 4 Units	1950s	CR07	Unheated Basement	1	0	0	0
Multi-Family with 5+ Units	1950s	CR07	Unheated Basement	1	0	0	0
Mobile Home	1950s	CR07	Unheated Basement	1	0	0	0
Single-Family Detached	1960s	CR07	Unheated Basement	1	0	0	0
Single-Family Attached	1960s	CR07	Unheated Basement	1	0	0	0
Multi-Family with 2 - 4 Units	1960s	CR07	Unheated Basement	1	0	0	0
Multi-Family with 5+ Units	1960s	CR07	Unheated Basement	1	0	0	0
Mobile Home	1960s	CR07	Unheated Basement	1	0	0	0
Single-Family Detached	1970s	CR07	Unheated Basement	1	0	0	0
Single-Family Attached	1970s	CR07	Unheated Basement	1	0	0	0
Multi-Family with 2 - 4 Units	1970s	CR07	Unheated Basement	1	0	0	0
Multi-Family with 5+ Units	1970s	CR07	Unheated Basement	1	0	0	0
Mobile Home	1970s	CR07	Unheated Basement	1	0	0	0
Single-Family Detached	1980s	CR07	Unheated Basement	0.31	0.26	0.43	0
Single-Family Attached	1980s	CR07	Unheated Basement	0.31	0.26	0.43	0
Multi-Family with 2 - 4 Units	1980s	CR07	Unheated Basement	0.31	0.26	0.43	0
Multi-Family with 5+ Units	1980s	CR07	Unheated Basement	0.31	0.26	0.43	0
Mobile Home	1980s	CR07	Unheated Basement	0.31	0.26	0.43	0
