Dependency=Geometry Building Type RECS	Dependency=PUMA	Option=Occupied	Option=Vacant	source_count	source_weight	fallback_count	fallback_weight
Mobile Home	AZ, 00113	0.822024	0.177976	40	899	40	899
Multi-Family with 2 - 4 Units	AZ, 00113	0.924006	0.075994	69	1987	69	1987
Multi-Family with 5+ Units	AZ, 00113	0.855212	0.144788	342	9987	342	9987
Single-Family Attached	AZ, 00113	0.888798	0.111202	108	2455	108	2455
Single-Family Detached	AZ, 00113	0.946291	0.0537094	1848	32620	1848	32620
Mobile Home	AZ, 00114	0.904164	0.0958362	211	4299	211	4299
Multi-Family with 2 - 4 Units	AZ, 00114	0.899251	0.100749	162	4139	162	4139
Multi-Family with 5+ Units	AZ, 00114	0.87347	0.12653	435	12661	435	12661
Single-Family Attached	AZ, 00114	0.930273	0.0697273	170	2897	170	2897
Single-Family Detached	AZ, 00114	0.959287	0.0407131	1294	26085	1294	26085
Mobile Home	AZ, 00115	0.889554	0.110446	107	2671	107	2671
Multi-Family with 2 - 4 Units	AZ, 00115	0.938628	0.0613718	153	3878	153	3878
Multi-Family with 5+ Units	AZ, 00115	0.862465	0.137535	511	14629	511	14629
Single-Family Attached	AZ, 00115	0.975728	0.0242718	85	1648	85	1648
Single-Family Detached	AZ, 00115	0.939431	0.0605689	1096	23626	1096	23626
Mobile Home	AZ, 00116	0.880325	0.119675	19	493	19	493
Multi-Family with 2 - 4 Units	AZ, 00116	0.858954	0.141046	238	5679	238	5679
Multi-Family with 5+ Units	AZ, 00116	0.865689	0.134311	1017	21830	1017	21830
Single-Family Attached	AZ, 00116	0.933592	0.0664081	282	4126	282	4126
Single-Family Detached	AZ, 00116	0.926739	0.0732613	1181	20734	1181	20734
Mobile Home	AZ, 00117	0.882267	0.117733	28	688	28	688
Multi-Family with 2 - 4 Units	AZ, 00117	0.78645	0.21355	169	3882	169	3882
Multi-Family with 5+ Units	AZ, 00117	0.872328	0.127672	781	18900	781	18900
Single-Family Attached	AZ, 00117	0.907407	0.0925926	150	2916	150	2916
Single-Family Detached	AZ, 00117	0.874197	0.125803	1312	25826	1312	25826
Mobile Home	AZ, 00118	0.802979	0.197021	52	1477	52	1477
Multi-Family with 2 - 4 Units	AZ, 00118	0.823807	0.176193	313	5931	313	5931
Multi-Family with 5+ Units	AZ, 00118	0.868947	0.131053	1112	21602	1112	21602
Single-Family Attached	AZ, 00118	0.909396	0.090604	102	1788	102	1788
Single-Family Detached	AZ, 00118	0.878061	0.121939	1106	21560	1106	21560
Mobile Home	AZ, 00119	0.817379	0.182621	70	1473	70	1473
Multi-Family with 2 - 4 Units	AZ, 00119	0.795637	0.204363	121	2613	121	2613
Multi-Family with 5+ Units	AZ, 00119	0.922039	0.0779614	185	4297	185	4297
Single-Family Attached	AZ, 00119	0.915552	0.0844482	68	1196	68	1196
Single-Family Detached	AZ, 00119	0.93788	0.0621201	1262	26159	1262	26159
Mobile Home	AZ, 00120	0.770642	0.229358	40	1199	40	1199
Multi-Family with 2 - 4 Units	AZ, 00120	0.849658	0.150342	60	1317	60	1317
Multi-Family with 5+ Units	AZ, 00120	0.866143	0.133857	326	9032	326	9032
Single-Family Attached	AZ, 00120	0.791031	0.208969	95	2163	95	2163
Single-Family Detached	AZ, 00120	0.957825	0.0421753	1661	30966	1661	30966
Mobile Home	AZ, 00121	0.850422	0.149578	109	2487	109	2487
Multi-Family with 2 - 4 Units	AZ, 00121	0.928365	0.0716353	54	1382	54	1382
Multi-Family with 5+ Units	AZ, 00121	0.864019	0.135981	88	2971	88	2971
Single-Family Attached	AZ, 00121	0.924078	0.0759219	27	461	27	461
Single-Family Detached	AZ, 00121	0.953315	0.0466852	1569	35643	1569	35643
Mobile Home	AZ, 00122	0.902665	0.0973349	40	863	40	863
Multi-Family with 2 - 4 Units	AZ, 00122	0.872446	0.127554	82	1811	82	1811
Multi-Family with 5+ Units	AZ, 00122	0.832199	0.167801	421	9696	421	9696
Single-Family Attached	AZ, 00122	0.896175	0.103825	46	915	46	915
Single-Family Detached	AZ, 00122	0.940437	0.0595629	964	19811	964	19811
Mobile Home	AZ, 00123	0.724886	0.275114	6	176	16000	321140
Multi-Family with 2 - 4 Units	AZ, 00123	0.92498	0.07502	50	1253	50	1253
Multi-Family with 5+ Units	AZ, 00123	0.880018	0.119982	233	6701	233	6701
Single-Family Attached	AZ, 00123	0.968051	0.0319489	57	1252	57	1252
Single-Family Detached	AZ, 00123	0.954492	0.0455076	1319	26545	1319	26545
Mobile Home	AZ, 00124	0.871122	0.128878	176	3771	176	3771
Multi-Family with 2 - 4 Units	AZ, 00124	0.826721	0.173279	153	3705	153	3705
Multi-Family with 5+ Units	AZ, 00124	0.902407	0.0975929	441	9929	441	9929
Single-Family Attached	AZ, 00124	0.978934	0.0210657	95	1614	95	1614
Single-Family Detached	AZ, 00124	0.952754	0.0472457	1082	19896	1082	19896
Mobile Home	AZ, 00125	0.941065	0.0589354	19	526	19	526
Multi-Family with 2 - 4 Units	AZ, 00125	0.805867	0.194133	93	2761	93	2761
Multi-Family with 5+ Units	AZ, 00125	0.858794	0.141206	331	10120	331	10120
Single-Family Attached	AZ, 00125	0.97502	0.0249805	55	1281	55	1281
Single-Family Detached	AZ, 00125	0.94356	0.0564397	1199	26329	1199	26329
Mobile Home	AZ, 00126	0.874687	0.125313	63	1197	63	1197
Multi-Family with 2 - 4 Units	AZ, 00126	0.881978	0.118022	82	1881	82	1881
Multi-Family with 5+ Units	AZ, 00126	0.875227	0.124773	427	11020	427	11020
Single-Family Attached	AZ, 00126	0.943494	0.0565056	68	1345	68	1345
Single-Family Detached	AZ, 00126	0.93933	0.0606705	1957	34811	1957	34811
Mobile Home	AZ, 00127	0.826446	0.173554	127	2904	127	2904
Multi-Family with 2 - 4 Units	AZ, 00127	0.906992	0.0930079	66	1516	66	1516
Multi-Family with 5+ Units	AZ, 00127	0.823311	0.176689	268	6186	268	6186
Single-Family Attached	AZ, 00127	0.844822	0.155178	187	3177	187	3177
Single-Family Detached	AZ, 00127	0.935825	0.0641748	1656	30900	1656	30900
Mobile Home	AZ, 00128	0.827458	0.172542	73	2156	73	2156
Multi-Family with 2 - 4 Units	AZ, 00128	0.964392	0.0356083	39	1011	39	1011
Multi-Family with 5+ Units	AZ, 00128	0.857069	0.142931	194	5807	194	5807
Single-Family Attached	AZ, 00128	0.882121	0.117879	78	1773	78	1773
Single-Family Detached	AZ, 00128	0.952687	0.0473125	1601	31535	1601	31535
Mobile Home	AZ, 00129	0.746161	0.253839	117	2214	117	2214
Multi-Family with 2 - 4 Units	AZ, 00129	0.808271	0.191729	32	798	32	798
Multi-Family with 5+ Units	AZ, 00129	0.903643	0.0963566	218	5407	218	5407
Single-Family Attached	AZ, 00129	0.955536	0.0444638	55	1147	55	1147
Single-Family Detached	AZ, 00129	0.923389	0.0766109	1931	39420	1931	39420
Mobile Home	AZ, 00130	0.725518	0.274482	180	3574	180	3574
Multi-Family with 2 - 4 Units	AZ, 00130	0.83937	0.16063	74	1905	74	1905
Multi-Family with 5+ Units	AZ, 00130	0.85607	0.14393	326	7726	326	7726
Single-Family Attached	AZ, 00130	0.814561	0.185439	428	9793	428	9793
Single-Family Detached	AZ, 00130	0.840006	0.159994	2405	47383	2405	47383
Mobile Home	AZ, 00131	0.568814	0.431186	71	1475	71	1475
Multi-Family with 2 - 4 Units	AZ, 00131	1	0	24	406	24	406
Multi-Family with 5+ Units	AZ, 00131	0.743538	0.256462	135	2979	135	2979
Single-Family Attached	AZ, 00131	0.811511	0.188489	35	695	35	695
Single-Family Detached	AZ, 00131	0.881843	0.118157	2167	43603	2167	43603
Mobile Home	AZ, 00132	0.887509	0.112491	53	1369	53	1369
Multi-Family with 2 - 4 Units	AZ, 00132	0.89881	0.10119	37	672	37	672
Multi-Family with 5+ Units	AZ, 00132	0.855617	0.144383	110	2902	110	2902
Single-Family Attached	AZ, 00132	0.822064	0.177936	55	843	55	843
Single-Family Detached	AZ, 00132	0.912229	0.0877712	1750	37894	1750	37894
Mobile Home	AZ, 00133	0.919622	0.0803783	62	1269	62	1269
Multi-Family with 2 - 4 Units	AZ, 00133	0.837874	0.162126	68	1505	68	1505
Multi-Family with 5+ Units	AZ, 00133	0.913998	0.086002	240	6058	240	6058
Single-Family Attached	AZ, 00133	1	0	34	612	34	612
Single-Family Detached	AZ, 00133	0.945192	0.0548083	1542	29886	1542	29886
Mobile Home	AZ, 00134	0.818278	0.181722	322	5668	322	5668
Multi-Family with 2 - 4 Units	AZ, 00134	0.873786	0.126214	36	721	36	721
Multi-Family with 5+ Units	AZ, 00134	0.895787	0.104213	43	902	43	902
Single-Family Attached	AZ, 00134	0.774341	0.225659	47	873	47	873
Single-Family Detached	AZ, 00134	0.884413	0.115587	2122	41882	2122	41882
Mobile Home	AZ, 00201	0.836427	0.163573	535	11151	535	11151
Multi-Family with 2 - 4 Units	AZ, 00201	0.796964	0.203036	32	527	32	527
Multi-Family with 5+ Units	AZ, 00201	0.80252	0.19748	100	3175	100	3175
Single-Family Attached	AZ, 00201	0.700482	0.299518	158	3115	158	3115
Single-Family Detached	AZ, 00201	0.868063	0.131937	1485	26020	1485	26020
Mobile Home	AZ, 00202	0.830536	0.169464	416	10427	416	10427
Multi-Family with 2 - 4 Units	AZ, 00202	0.960702	0.0392982	53	1425	53	1425
Multi-Family with 5+ Units	AZ, 00202	0.823429	0.176571	170	5856	170	5856
Single-Family Attached	AZ, 00202	0.914929	0.0850714	91	1822	91	1822
Single-Family Detached	AZ, 00202	0.914158	0.0858425	1658	35437	1658	35437
Mobile Home	AZ, 00203	0.91843	0.0815698	136	2599	136	2599
Multi-Family with 2 - 4 Units	AZ, 00203	0.756575	0.243425	75	1483	75	1483
Multi-Family with 5+ Units	AZ, 00203	0.879172	0.120828	386	8210	386	8210
Single-Family Attached	AZ, 00203	0.778705	0.221295	150	2996	150	2996
Single-Family Detached	AZ, 00203	0.935155	0.0648446	2171	38199	2171	38199
Mobile Home	AZ, 00204	0.921495	0.0785047	31	535	31	535
Multi-Family with 2 - 4 Units	AZ, 00204	0.853597	0.146403	77	1974	77	1974
Multi-Family with 5+ Units	AZ, 00204	0.821828	0.178172	475	11893	475	11893
Single-Family Attached	AZ, 00204	0.861178	0.138822	280	4567	280	4567
Single-Family Detached	AZ, 00204	0.88159	0.11841	2184	36171	2184	36171
Mobile Home	AZ, 00205	0.837705	0.162295	297	6328	297	6328
Multi-Family with 2 - 4 Units	AZ, 00205	0.549186	0.450814	61	1413	61	1413
Multi-Family with 5+ Units	AZ, 00205	0.830065	0.169935	47	1071	47	1071
Single-Family Attached	AZ, 00205	0.728598	0.271402	228	4252	228	4252
Single-Family Detached	AZ, 00205	0.924	0.0760005	2118	43105	2118	43105
Mobile Home	AZ, 00206	0.830209	0.169791	93	1867	93	1867
Multi-Family with 2 - 4 Units	AZ, 00206	0.822434	0.177566	200	5046	200	5046
Multi-Family with 5+ Units	AZ, 00206	0.848254	0.151746	711	19592	711	19592
Single-Family Attached	AZ, 00206	0.8951	0.1049	331	5939	331	5939
Single-Family Detached	AZ, 00206	0.904437	0.0955631	1221	23147	1221	23147
Mobile Home	AZ, 00207	0.851396	0.148604	354	7234	354	7234
Multi-Family with 2 - 4 Units	AZ, 00207	0.842168	0.157832	249	5905	249	5905
Multi-Family with 5+ Units	AZ, 00207	0.85913	0.14087	535	12366	535	12366
Single-Family Attached	AZ, 00207	0.821429	0.178571	188	4116	188	4116
Single-Family Detached	AZ, 00207	0.855814	0.144186	952	19572	952	19572
Mobile Home	AZ, 00208	0.87224	0.12776	230	5706	230	5706
Multi-Family with 2 - 4 Units	AZ, 00208	0.865017	0.134983	146	2667	146	2667
Multi-Family with 5+ Units	AZ, 00208	0.85734	0.14266	306	6533	306	6533
Single-Family Attached	AZ, 00208	0.904866	0.0951344	154	2754	154	2754
Single-Family Detached	AZ, 00208	0.915006	0.0849945	1287	21672	1287	21672
Mobile Home	AZ, 00209	0.778487	0.221513	117	2036	117	2036
Multi-Family with 2 - 4 Units	AZ, 00209	0.840394	0.159606	91	2337	91	2337
Multi-Family with 5+ Units	AZ, 00209	0.838969	0.161031	465	11178	465	11178
Single-Family Attached	AZ, 00209	0.89412	0.10588	244	4524	244	4524
Single-Family Detached	AZ, 00209	0.928308	0.0716922	1663	31970	1663	31970
Mobile Home	AZ, 00300	0.62779	0.37221	1736	20612	1736	20612
Multi-Family with 2 - 4 Units	AZ, 00300	0.649023	0.350977	322	4043	322	4043
Multi-Family with 5+ Units	AZ, 00300	0.768484	0.231516	117	2164	117	2164
Single-Family Attached	AZ, 00300	0.639344	0.360656	124	1647	124	1647
Single-Family Detached	AZ, 00300	0.601848	0.398152	6777	62436	6777	62436
Mobile Home	AZ, 00400	0.721494	0.278506	605	8700	605	8700
Multi-Family with 2 - 4 Units	AZ, 00400	0.689741	0.310259	153	3597	153	3597
Multi-Family with 5+ Units	AZ, 00400	0.82183	0.17817	364	8722	364	8722
Single-Family Attached	AZ, 00400	0.815059	0.184941	171	3785	171	3785
Single-Family Detached	AZ, 00400	0.688823	0.311177	2800	41282	2800	41282
Mobile Home	AZ, 00500	0.813005	0.186995	863	22530	863	22530
Multi-Family with 2 - 4 Units	AZ, 00500	0.857122	0.142878	218	6999	218	6999
Multi-Family with 5+ Units	AZ, 00500	0.893265	0.106735	218	5687	218	5687
Single-Family Attached	AZ, 00500	0.838314	0.161686	162	3915	162	3915
Single-Family Detached	AZ, 00500	0.845543	0.154457	3309	77711	3309	77711
Mobile Home	AZ, 00600	0.635203	0.364797	1717	39781	1717	39781
Multi-Family with 2 - 4 Units	AZ, 00600	0.809621	0.190379	223	5862	223	5862
Multi-Family with 5+ Units	AZ, 00600	0.713566	0.286434	262	6546	262	6546
Single-Family Attached	AZ, 00600	0.858422	0.141578	102	1787	102	1787
Single-Family Detached	AZ, 00600	0.780447	0.219553	3371	76897	3371	76897
Mobile Home	AZ, 00700	0.601776	0.398224	1510	28936	1510	28936
Multi-Family with 2 - 4 Units	AZ, 00700	0.842996	0.157004	160	4312	160	4312
Multi-Family with 5+ Units	AZ, 00700	0.856303	0.143697	265	7140	265	7140
Single-Family Attached	AZ, 00700	0.975255	0.0247447	151	2546	151	2546
Single-Family Detached	AZ, 00700	0.874464	0.125536	2344	49691	2344	49691
Mobile Home	AZ, 00800	0.72137	0.27863	763	13369	763	13369
Multi-Family with 2 - 4 Units	AZ, 00800	0.734552	0.265448	74	1586	74	1586
Multi-Family with 5+ Units	AZ, 00800	0.748709	0.251291	75	1743	75	1743
Single-Family Attached	AZ, 00800	0.690141	0.309859	42	852	42	852
Single-Family Detached	AZ, 00800	0.701108	0.298892	2234	39787	2234	39787
Mobile Home	AZ, 00803	0.695478	0.304522	667	17204	667	17204
Multi-Family with 2 - 4 Units	AZ, 00803	0.756991	0.243009	41	1502	41	1502
Multi-Family with 5+ Units	AZ, 00803	0.630678	0.369322	45	1519	45	1519
Single-Family Attached	AZ, 00803	0.858599	0.141401	35	785	35	785
Single-Family Detached	AZ, 00803	0.855923	0.144077	1728	46503	1728	46503
Mobile Home	AZ, 00805	0.665273	0.334727	287	6937	287	6937
Multi-Family with 2 - 4 Units	AZ, 00805	0.889397	0.110603	49	1094	49	1094
Multi-Family with 5+ Units	AZ, 00805	0.903101	0.0968992	52	1032	52	1032
Single-Family Attached	AZ, 00805	0.892749	0.107251	31	662	31	662
Single-Family Detached	AZ, 00805	0.806598	0.193402	1520	36468	1520	36468
Mobile Home	AZ, 00807	0.693671	0.306329	463	9764	463	9764
Multi-Family with 2 - 4 Units	AZ, 00807	0.972727	0.0272727	51	1210	51	1210
Multi-Family with 5+ Units	AZ, 00807	0.87098	0.12902	116	2736	116	2736
Single-Family Attached	AZ, 00807	0.742714	0.257286	57	1201	57	1201
Single-Family Detached	AZ, 00807	0.86365	0.13635	2114	39956	2114	39956
Mobile Home	AZ, 00900	0.762061	0.237939	768	14033	768	14033
Multi-Family with 2 - 4 Units	AZ, 00900	0.753761	0.246239	143	3257	143	3257
Multi-Family with 5+ Units	AZ, 00900	0.796577	0.203423	276	7128	276	7128
Single-Family Attached	AZ, 00900	0.807709	0.192291	119	2309	119	2309
Single-Family Detached	AZ, 00900	0.859793	0.140207	2865	52715	2865	52715
Mobile Home	CA, 00101	0.863933	0.136067	4	55	28295	537307
Multi-Family with 2 - 4 Units	CA, 00101	0.912067	0.0879334	626	10815	626	10815
Multi-Family with 5+ Units	CA, 00101	0.919363	0.0806366	1047	18912	1047	18912
Single-Family Attached	CA, 00101	0.947301	0.0526992	164	2334	164	2334
Single-Family Detached	CA, 00101	0.953458	0.0465422	1775	24365	1775	24365
Mobile Home	CA, 00102	1	0	17	301	17	301
Multi-Family with 2 - 4 Units	CA, 00102	0.916108	0.0838924	823	15651	823	15651
Multi-Family with 5+ Units	CA, 00102	0.92886	0.0711401	2303	44813	2303	44813
Single-Family Attached	CA, 00102	0.922933	0.0770668	264	4282	264	4282
Single-Family Detached	CA, 00102	0.933644	0.0663563	968	15251	968	15251
Mobile Home	CA, 00103	0.863933	0.136067	6	130	28295	537307
Multi-Family with 2 - 4 Units	CA, 00103	0.899799	0.100201	333	6457	333	6457
Multi-Family with 5+ Units	CA, 00103	0.924319	0.075681	588	12077	588	12077
Single-Family Attached	CA, 00103	0.924481	0.0755187	132	2410	132	2410
Single-Family Detached	CA, 00103	0.977099	0.0229008	2196	37204	2196	37204
Mobile Home	CA, 00104	1	0	11	176	11	176
Multi-Family with 2 - 4 Units	CA, 00104	0.901441	0.0985593	387	9162	387	9162
Multi-Family with 5+ Units	CA, 00104	0.93967	0.0603301	379	8785	379	8785
Single-Family Attached	CA, 00104	0.916094	0.0839065	133	2908	133	2908
Single-Family Detached	CA, 00104	0.940052	0.0599484	1267	23637	1267	23637
Mobile Home	CA, 00105	0.907216	0.0927835	34	679	34	679
Multi-Family with 2 - 4 Units	CA, 00105	0.919814	0.0801856	344	7757	344	7757
Multi-Family with 5+ Units	CA, 00105	0.942217	0.0577833	819	18379	819	18379
Single-Family Attached	CA, 00105	0.951823	0.0481769	288	6061	288	6061
Single-Family Detached	CA, 00105	0.960149	0.0398513	1756	33901	1756	33901
Mobile Home	CA, 00106	1	0	37	910	37	910
Multi-Family with 2 - 4 Units	CA, 00106	0.967822	0.0321782	129	3232	129	3232
Multi-Family with 5+ Units	CA, 00106	0.953766	0.0462341	405	9971	405	9971
Single-Family Attached	CA, 00106	0.971212	0.0287882	230	5141	230	5141
Single-Family Detached	CA, 00106	0.969315	0.0306853	1645	30601	1645	30601
Mobile Home	CA, 00107	0.922581	0.0774194	148	2480	148	2480
Multi-Family with 2 - 4 Units	CA, 00107	0.966211	0.0337889	134	2634	134	2634
Multi-Family with 5+ Units	CA, 00107	0.931011	0.0689891	590	13176	590	13176
Single-Family Attached	CA, 00107	0.99368	0.00632036	253	5063	253	5063
Single-Family Detached	CA, 00107	0.959266	0.040734	1515	26538	1515	26538
Mobile Home	CA, 00108	1	0	50	957	50	957
Multi-Family with 2 - 4 Units	CA, 00108	0.9518	0.0481998	113	1722	113	1722
Multi-Family with 5+ Units	CA, 00108	0.93278	0.0672197	368	6992	368	6992
Single-Family Attached	CA, 00108	0.930027	0.0699729	381	7017	381	7017
Single-Family Detached	CA, 00108	0.970386	0.0296136	1733	29142	1733	29142
Mobile Home	CA, 00109	1	0	35	693	35	693
Multi-Family with 2 - 4 Units	CA, 00109	0.974591	0.0254091	123	2322	123	2322
Multi-Family with 5+ Units	CA, 00109	0.939595	0.0604053	751	17813	751	17813
Single-Family Attached	CA, 00109	0.963116	0.0368837	371	7971	371	7971
Single-Family Detached	CA, 00109	0.958769	0.0412314	2350	41546	2350	41546
Mobile Home	CA, 00110	0.997802	0.0021978	45	910	45	910
Multi-Family with 2 - 4 Units	CA, 00110	0.966043	0.0339572	164	3740	164	3740
Multi-Family with 5+ Units	CA, 00110	0.923432	0.0765682	667	15607	667	15607
Single-Family Attached	CA, 00110	0.97345	0.0265496	473	9341	473	9341
Single-Family Detached	CA, 00110	0.969897	0.0301025	2998	56075	2998	56075
Mobile Home	CA, 00300	0.823568	0.176432	677	12084	677	12084
Multi-Family with 2 - 4 Units	CA, 00300	0.691103	0.308897	179	4597	179	4597
Multi-Family with 5+ Units	CA, 00300	0.504205	0.495795	295	8324	295	8324
Single-Family Attached	CA, 00300	0.442449	0.557551	147	3953	147	3953
Single-Family Detached	CA, 00300	0.656227	0.343773	4179	84835	4179	84835
Mobile Home	CA, 00701	0.888747	0.111253	151	3137	151	3137
Multi-Family with 2 - 4 Units	CA, 00701	0.892498	0.107502	319	7358	319	7358
Multi-Family with 5+ Units	CA, 00701	0.838167	0.161833	447	9930	447	9930
Single-Family Attached	CA, 00701	0.914955	0.0850454	111	2093	111	2093
Single-Family Detached	CA, 00701	0.916892	0.0831079	1539	28469	1539	28469
Mobile Home	CA, 00702	0.827692	0.172308	506	10133	506	10133
Multi-Family with 2 - 4 Units	CA, 00702	0.736033	0.263967	83	1951	83	1951
Multi-Family with 5+ Units	CA, 00702	0.891119	0.108881	76	1993	76	1993
Single-Family Attached	CA, 00702	0.914013	0.0859873	56	1256	56	1256
Single-Family Detached	CA, 00702	0.890409	0.109591	1645	30185	1645	30185
Mobile Home	CA, 01100	0.792422	0.207578	610	10266	610	10266
Multi-Family with 2 - 4 Units	CA, 01100	0.926383	0.0736175	96	2839	96	2839
Multi-Family with 5+ Units	CA, 01100	0.929138	0.0708621	108	3909	108	3909
Single-Family Attached	CA, 01100	0.922261	0.0777385	58	1132	58	1132
Single-Family Detached	CA, 01100	0.856027	0.143973	2298	37382	2298	37382
Mobile Home	CA, 01301	1	0	23	493	23	493
Multi-Family with 2 - 4 Units	CA, 01301	0.913658	0.0863418	276	6648	276	6648
Multi-Family with 5+ Units	CA, 01301	0.894896	0.105104	303	8268	303	8268
Single-Family Attached	CA, 01301	0.912183	0.0878174	185	4293	185	4293
Single-Family Detached	CA, 01301	0.958782	0.0412182	1100	22393	1100	22393
Mobile Home	CA, 01302	0.855362	0.144638	19	401	19	401
Multi-Family with 2 - 4 Units	CA, 01302	0.893594	0.106406	142	2763	142	2763
Multi-Family with 5+ Units	CA, 01302	0.919463	0.0805369	315	7748	315	7748
Single-Family Attached	CA, 01302	0.94035	0.0596502	189	3202	189	3202
Single-Family Detached	CA, 01302	0.957705	0.0422948	2000	33432	2000	33432
Mobile Home	CA, 01303	0.981511	0.0184887	48	1244	48	1244
Multi-Family with 2 - 4 Units	CA, 01303	0.953582	0.0464178	158	3964	158	3964
Multi-Family with 5+ Units	CA, 01303	0.938771	0.0612289	461	13768	461	13768
Single-Family Attached	CA, 01303	0.973251	0.0267494	206	4673	206	4673
Single-Family Detached	CA, 01303	0.963151	0.0368485	1421	29472	1421	29472
Mobile Home	CA, 01304	0.863933	0.136067	8	134	28295	537307
