Dependency=Geometry Building Type RECS	Dependency=PUMA	Dependency=Vacancy Status	Option=Not Available	Option=Owner	Option=Renter	source_count	source_weight	fallback_count	fallback_weight
Single-Family Detached	AL, 02300	Vacant	1	0	0	444	8025	444	8025
Mobile Home	AL, 02400	Occupied	0	0.658904	0.341096	656	10950	656	10950
Mobile Home	AL, 02400	Vacant	1	0	0	175	3882	175	3882
Multi-Family with 2 - 4 Units	AL, 02400	Occupied	0	0.0333134	0.966687	225	5013	225	5013
Multi-Family with 2 - 4 Units	AL, 02400	Vacant	1	0	0	44	1371	44	1371
Multi-Family with 5+ Units	AL, 02400	Occupied	0	0.0031811	0.996819	152	4401	152	4401
Multi-Family with 5+ Units	AL, 02400	Vacant	1	0	0	46	1352	46	1352
Single-Family Attached	AL, 02400	Occupied	0	0.343558	0.656442	39	489	39	489
Single-Family Attached	AL, 02400	Vacant	1	0	0	1	54	155	4455
Single-Family Detached	AL, 02400	Occupied	0	0.770532	0.229468	2072	34349	2072	34349
Single-Family Detached	AL, 02400	Vacant	1	0	0	367	8808	367	8808
Mobile Home	AL, 02500	Occupied	0	0.642562	0.357438	1244	12100	1244	12100
Mobile Home	AL, 02500	Vacant	1	0	0	269	4649	269	4649
Multi-Family with 2 - 4 Units	AL, 02500	Occupied	0	0.0307256	0.969274	478	4231	478	4231
Multi-Family with 2 - 4 Units	AL, 02500	Vacant	1	0	0	107	1646	107	1646
Multi-Family with 5+ Units	AL, 02500	Occupied	0	0.00418021	0.99582	550	4306	550	4306
Multi-Family with 5+ Units	AL, 02500	Vacant	1	0	0	113	1560	113	1560
Single-Family Attached	AL, 02500	Occupied	0	0.367154	0.632846	145	1163	145	1163
Single-Family Attached	AL, 02500	Vacant	1	0	0	9	150	155	4455
Single-Family Detached	AL, 02500	Occupied	0	0.77754	0.22246	7207	53331	7207	53331
Single-Family Detached	AL, 02500	Vacant	1	0	0	669	9448	669	9448
Mobile Home	AL, 02600	Occupied	0	0.743781	0.256219	337	9808	337	9808
Mobile Home	AL, 02600	Vacant	1	0	0	86	3477	86	3477
Multi-Family with 2 - 4 Units	AL, 02600	Occupied	0	0.135251	0.864749	97	3024	97	3024
Multi-Family with 2 - 4 Units	AL, 02600	Vacant	1	0	0	41	1469	41	1469
Multi-Family with 5+ Units	AL, 02600	Occupied	0	0.125725	0.874275	206	7930	206	7930
Multi-Family with 5+ Units	AL, 02600	Vacant	1	0	0	376	15845	376	15845
Single-Family Attached	AL, 02600	Occupied	0	0.72238	0.27762	47	1059	47	1059
Single-Family Attached	AL, 02600	Vacant	1	0	0	10	448	10	448
Single-Family Detached	AL, 02600	Occupied	0	0.852611	0.147389	2369	59109	2369	59109
Single-Family Detached	AL, 02600	Vacant	1	0	0	352	11995	352	11995
Mobile Home	AL, 02701	Occupied	0	0.570388	0.429612	30	412	30	412
Mobile Home	AL, 02701	Vacant	1	0	0	9	273	304	7360
Multi-Family with 2 - 4 Units	AL, 02701	Occupied	0	0.0398915	0.960109	206	3685	206	3685
Multi-Family with 2 - 4 Units	AL, 02701	Vacant	1	0	0	66	1485	66	1485
Multi-Family with 5+ Units	AL, 02701	Occupied	0	0.0208866	0.979113	240	4692	240	4692
Multi-Family with 5+ Units	AL, 02701	Vacant	1	0	0	47	1343	47	1343
Single-Family Attached	AL, 02701	Occupied	0	0.262712	0.737288	34	472	34	472
Single-Family Attached	AL, 02701	Vacant	1	0	0	6	121	262	8741
Single-Family Detached	AL, 02701	Occupied	0	0.651586	0.348414	1995	31454	1995	31454
Single-Family Detached	AL, 02701	Vacant	1	0	0	295	7087	295	7087
Mobile Home	AL, 02702	Occupied	0	0.551959	0.448041	27	587	27	587
Mobile Home	AL, 02702	Vacant	1	0	0	3	128	85	3021
Multi-Family with 2 - 4 Units	AL, 02702	Occupied	0	0.12587	0.87413	69	1581	69	1581
Multi-Family with 2 - 4 Units	AL, 02702	Vacant	1	0	0	6	229	1123	37732
Multi-Family with 5+ Units	AL, 02702	Occupied	0	0.00968188	0.990318	427	13014	427	13014
Multi-Family with 5+ Units	AL, 02702	Vacant	1	0	0	82	3514	82	3514
Single-Family Attached	AL, 02702	Occupied	0	0.639073	0.360927	39	604	39	604
Single-Family Attached	AL, 02702	Vacant	1	0	0	0	0	262	8741
Single-Family Detached	AL, 02702	Occupied	0	0.805513	0.194487	1488	29822	1488	29822
Single-Family Detached	AL, 02702	Vacant	1	0	0	82	2893	82	2893
Mobile Home	AL, 02703	Occupied	0	0.675294	0.324706	393	10277	393	10277
Mobile Home	AL, 02703	Vacant	1	0	0	52	2578	52	2578
Multi-Family with 2 - 4 Units	AL, 02703	Occupied	0	0.0122783	0.987722	35	733	35	733
Multi-Family with 2 - 4 Units	AL, 02703	Vacant	1	0	0	11	190	11	190
Multi-Family with 5+ Units	AL, 02703	Occupied	0	0.00338365	0.996616	92	3842	92	3842
Multi-Family with 5+ Units	AL, 02703	Vacant	1	0	0	26	930	26	930
Single-Family Attached	AL, 02703	Occupied	0	0.820339	0.179661	17	295	17	295
Single-Family Attached	AL, 02703	Vacant	1	0	0	3	35	262	8741
Single-Family Detached	AL, 02703	Occupied	0	0.846933	0.153067	2339	54780	2339	54780
Single-Family Detached	AL, 02703	Vacant	1	0	0	217	6615	217	6615
Mobile Home	AR, 00100	Occupied	0	0.56515	0.43485	202	3891	202	3891
Mobile Home	AR, 00100	Vacant	1	0	0	25	884	25	884
Multi-Family with 2 - 4 Units	AR, 00100	Occupied	0	0.0760847	0.923915	229	4863	229	4863
Multi-Family with 2 - 4 Units	AR, 00100	Vacant	1	0	0	9	371	2005	66581
Multi-Family with 5+ Units	AR, 00100	Occupied	0	0.0131747	0.986825	418	9412	418	9412
Multi-Family with 5+ Units	AR, 00100	Vacant	1	0	0	28	1106	28	1106
Single-Family Attached	AR, 00100	Occupied	0	0.194473	0.805527	208	5862	208	5862
Single-Family Attached	AR, 00100	Vacant	1	0	0	13	473	13	473
Single-Family Detached	AR, 00100	Occupied	0	0.828355	0.171645	3783	73221	3783	73221
Single-Family Detached	AR, 00100	Vacant	1	0	0	184	5551	184	5551
Mobile Home	AR, 00200	Occupied	0	0.565691	0.434309	165	4133	165	4133
Mobile Home	AR, 00200	Vacant	1	0	0	19	772	19	772
Multi-Family with 2 - 4 Units	AR, 00200	Occupied	0	0.0307361	0.969264	218	7906	218	7906
Multi-Family with 2 - 4 Units	AR, 00200	Vacant	1	0	0	18	1049	18	1049
Multi-Family with 5+ Units	AR, 00200	Occupied	0	0.0136257	0.986374	518	17467	518	17467
Multi-Family with 5+ Units	AR, 00200	Vacant	1	0	0	26	1509	26	1509
Single-Family Attached	AR, 00200	Occupied	0	0.194378	0.805622	92	2490	92	2490
Single-Family Attached	AR, 00200	Vacant	1	0	0	0	0	894	25835
Single-Family Detached	AR, 00200	Occupied	0	0.776649	0.223351	2437	55330	2437	55330
Single-Family Detached	AR, 00200	Vacant	1	0	0	80	2955	80	2955
Mobile Home	AR, 00300	Occupied	0	0.74358	0.25642	450	7866	450	7866
Mobile Home	AR, 00300	Vacant	1	0	0	159	4045	159	4045
Multi-Family with 2 - 4 Units	AR, 00300	Occupied	0	0.0993072	0.900693	151	2598	151	2598
Multi-Family with 2 - 4 Units	AR, 00300	Vacant	1	0	0	24	691	24	691
Multi-Family with 5+ Units	AR, 00300	Occupied	0	0.0217786	0.978221	161	2755	161	2755
Multi-Family with 5+ Units	AR, 00300	Vacant	1	0	0	15	503	15	503
Single-Family Attached	AR, 00300	Occupied	0	0.518832	0.481168	77	1301	77	1301
Single-Family Attached	AR, 00300	Vacant	1	0	0	7	315	363	7116
Single-Family Detached	AR, 00300	Occupied	0	0.830935	0.169065	2949	49413	2949	49413
Single-Family Detached	AR, 00300	Vacant	1	0	0	457	10840	457	10840
Mobile Home	AR, 00400	Occupied	0	0.721924	0.278076	621	10810	621	10810
Mobile Home	AR, 00400	Vacant	1	0	0	222	5253	222	5253
Multi-Family with 2 - 4 Units	AR, 00400	Occupied	0	0.0695397	0.93046	146	2042	146	2042
Multi-Family with 2 - 4 Units	AR, 00400	Vacant	1	0	0	22	522	22	522
Multi-Family with 5+ Units	AR, 00400	Occupied	0	0.0972789	0.902721	98	1470	98	1470
Multi-Family with 5+ Units	AR, 00400	Vacant	1	0	0	35	1060	35	1060
Single-Family Attached	AR, 00400	Occupied	0	0.775	0.225	30	440	30	440
Single-Family Attached	AR, 00400	Vacant	1	0	0	8	184	363	7116
Single-Family Detached	AR, 00400	Occupied	0	0.819886	0.180114	2603	39214	2603	39214
Single-Family Detached	AR, 00400	Vacant	1	0	0	606	13035	606	13035
Mobile Home	AR, 00500	Occupied	0	0.660585	0.339415	364	6358	364	6358
Mobile Home	AR, 00500	Vacant	1	0	0	78	1833	78	1833
Multi-Family with 2 - 4 Units	AR, 00500	Occupied	0	0.0234385	0.976561	282	7637	282	7637
Multi-Family with 2 - 4 Units	AR, 00500	Vacant	1	0	0	30	979	30	979
Multi-Family with 5+ Units	AR, 00500	Occupied	0	0.0250225	0.974978	246	6674	246	6674
Multi-Family with 5+ Units	AR, 00500	Vacant	1	0	0	33	1291	33	1291
Single-Family Attached	AR, 00500	Occupied	0	0.535193	0.464807	44	753	44	753
Single-Family Attached	AR, 00500	Vacant	1	0	0	2	32	363	7116
Single-Family Detached	AR, 00500	Occupied	0	0.774294	0.225706	3030	53583	3030	53583
Single-Family Detached	AR, 00500	Vacant	1	0	0	216	5573	216	5573
Mobile Home	AR, 00600	Occupied	0	0.636978	0.363022	223	2515	223	2515
Mobile Home	AR, 00600	Vacant	1	0	0	53	816	53	816
Multi-Family with 2 - 4 Units	AR, 00600	Occupied	0	0.0231857	0.976814	222	4313	222	4313
Multi-Family with 2 - 4 Units	AR, 00600	Vacant	1	0	0	51	1437	51	1437
Multi-Family with 5+ Units	AR, 00600	Occupied	0	0.0226021	0.977398	141	3451	141	3451
Multi-Family with 5+ Units	AR, 00600	Vacant	1	0	0	19	462	19	462
Single-Family Attached	AR, 00600	Occupied	0	0.247899	0.752101	35	476	35	476
Single-Family Attached	AR, 00600	Vacant	1	0	0	3	34	363	7116
Single-Family Detached	AR, 00600	Occupied	0	0.725721	0.274279	1934	28595	1934	28595
Single-Family Detached	AR, 00600	Vacant	1	0	0	191	4617	191	4617
Mobile Home	AR, 00700	Occupied	0	0.692768	0.307232	331	5351	331	5351
Mobile Home	AR, 00700	Vacant	1	0	0	78	1470	78	1470
Multi-Family with 2 - 4 Units	AR, 00700	Occupied	0	0.00996933	0.990031	216	3912	216	3912
Multi-Family with 2 - 4 Units	AR, 00700	Vacant	1	0	0	37	888	37	888
Multi-Family with 5+ Units	AR, 00700	Occupied	0	0	1	103	1895	103	1895
Multi-Family with 5+ Units	AR, 00700	Vacant	1	0	0	19	390	19	390
Single-Family Attached	AR, 00700	Occupied	0	0.42823	0.57177	27	418	27	418
Single-Family Attached	AR, 00700	Vacant	1	0	0	1	5	363	7116
Single-Family Detached	AR, 00700	Occupied	0	0.696616	0.303384	1868	28014	1868	28014
Single-Family Detached	AR, 00700	Vacant	1	0	0	305	6598	305	6598
Mobile Home	AR, 00800	Occupied	0	0.730308	0.269692	426	7338	426	7338
Mobile Home	AR, 00800	Vacant	1	0	0	79	1867	79	1867
Multi-Family with 2 - 4 Units	AR, 00800	Occupied	0	0.00892525	0.991075	154	2689	154	2689
Multi-Family with 2 - 4 Units	AR, 00800	Vacant	1	0	0	21	439	21	439
Multi-Family with 5+ Units	AR, 00800	Occupied	0	0.00203749	0.997963	132	2454	132	2454
Multi-Family with 5+ Units	AR, 00800	Vacant	1	0	0	19	553	19	553
Single-Family Attached	AR, 00800	Occupied	0	0.623188	0.376812	26	345	26	345
Single-Family Attached	AR, 00800	Vacant	1	0	0	2	122	363	7116
Single-Family Detached	AR, 00800	Occupied	0	0.773681	0.226319	1874	29074	1874	29074
Single-Family Detached	AR, 00800	Vacant	1	0	0	213	4926	213	4926
Mobile Home	AR, 00900	Occupied	0	0.59394	0.40606	224	5743	224	5743
Mobile Home	AR, 00900	Vacant	1	0	0	30	1380	30	1380
Multi-Family with 2 - 4 Units	AR, 00900	Occupied	0	0.0159073	0.984093	176	5092	176	5092
Multi-Family with 2 - 4 Units	AR, 00900	Vacant	1	0	0	41	1445	41	1445
Multi-Family with 5+ Units	AR, 00900	Occupied	0	0.0198318	0.980168	358	12959	358	12959
Multi-Family with 5+ Units	AR, 00900	Vacant	1	0	0	52	2310	52	2310
Single-Family Attached	AR, 00900	Occupied	0	0.32901	0.67099	91	1465	91	1465
Single-Family Attached	AR, 00900	Vacant	1	0	0	9	214	894	25835
Single-Family Detached	AR, 00900	Occupied	0	0.804159	0.195841	2469	56265	2469	56265
Single-Family Detached	AR, 00900	Vacant	1	0	0	174	6739	174	6739
Mobile Home	AR, 01000	Occupied	0	0.512583	0.487417	50	1510	50	1510
Mobile Home	AR, 01000	Vacant	1	0	0	9	302	207	7113
Multi-Family with 2 - 4 Units	AR, 01000	Occupied	0	0.0559583	0.944042	159	4414	159	4414
Multi-Family with 2 - 4 Units	AR, 01000	Vacant	1	0	0	23	1098	23	1098
Multi-Family with 5+ Units	AR, 01000	Occupied	0	0.0373778	0.962622	560	19129	560	19129
Multi-Family with 5+ Units	AR, 01000	Vacant	1	0	0	127	5731	127	5731
Single-Family Attached	AR, 01000	Occupied	0	0.531636	0.468364	59	1375	59	1375
Single-Family Attached	AR, 01000	Vacant	1	0	0	7	238	894	25835
Single-Family Detached	AR, 01000	Occupied	0	0.796236	0.203764	2277	50107	2277	50107
Single-Family Detached	AR, 01000	Vacant	1	0	0	198	6811	198	6811
Mobile Home	AR, 01100	Occupied	0	0.657179	0.342821	448	8608	448	8608
Mobile Home	AR, 01100	Vacant	1	0	0	47	1425	47	1425
Multi-Family with 2 - 4 Units	AR, 01100	Occupied	0	0.020703	0.979297	190	4637	190	4637
Multi-Family with 2 - 4 Units	AR, 01100	Vacant	1	0	0	21	814	21	814
Multi-Family with 5+ Units	AR, 01100	Occupied	0	0.00228768	0.997712	257	6994	257	6994
Multi-Family with 5+ Units	AR, 01100	Vacant	1	0	0	36	1608	36	1608
Single-Family Attached	AR, 01100	Occupied	0	0.162659	0.837341	40	707	40	707
Single-Family Attached	AR, 01100	Vacant	1	0	0	2	19	894	25835
Single-Family Detached	AR, 01100	Occupied	0	0.803425	0.196575	2694	50515	2694	50515
Single-Family Detached	AR, 01100	Vacant	1	0	0	127	3894	127	3894
Mobile Home	AR, 01200	Occupied	0	0.775293	0.224707	305	6662	305	6662
Mobile Home	AR, 01200	Vacant	1	0	0	35	1559	35	1559
Multi-Family with 2 - 4 Units	AR, 01200	Occupied	0	0.0487288	0.951271	38	944	38	944
Multi-Family with 2 - 4 Units	AR, 01200	Vacant	1	0	0	4	191	2005	66581
Multi-Family with 5+ Units	AR, 01200	Occupied	0	0.0156189	0.984381	73	2561	73	2561
Multi-Family with 5+ Units	AR, 01200	Vacant	1	0	0	5	315	7828	289770
Single-Family Attached	AR, 01200	Occupied	0	0.488754	0.511246	8	127	12225	238654
Single-Family Attached	AR, 01200	Vacant	1	0	0	1	20	894	25835
Single-Family Detached	AR, 01200	Occupied	0	0.868684	0.131316	1499	33781	1499	33781
Single-Family Detached	AR, 01200	Vacant	1	0	0	57	2459	57	2459
Mobile Home	AR, 01300	Occupied	0	0.746581	0.253419	433	6874	433	6874
Mobile Home	AR, 01300	Vacant	1	0	0	104	2563	104	2563
Multi-Family with 2 - 4 Units	AR, 01300	Occupied	0	0.0187886	0.981211	165	3566	165	3566
Multi-Family with 2 - 4 Units	AR, 01300	Vacant	1	0	0	26	932	26	932
Multi-Family with 5+ Units	AR, 01300	Occupied	0	0.00375043	0.99625	116	2933	116	2933
Multi-Family with 5+ Units	AR, 01300	Vacant	1	0	0	17	697	17	697
Single-Family Attached	AR, 01300	Occupied	0	0.554286	0.445714	19	350	19	350
Single-Family Attached	AR, 01300	Vacant	1	0	0	0	0	363	7116
Single-Family Detached	AR, 01300	Occupied	0	0.804492	0.195508	2339	38019	2339	38019
Single-Family Detached	AR, 01300	Vacant	1	0	0	278	6474	278	6474
Mobile Home	AR, 01400	Occupied	0	0.799753	0.200247	212	4045	212	4045
Mobile Home	AR, 01400	Vacant	1	0	0	31	882	31	882
Multi-Family with 2 - 4 Units	AR, 01400	Occupied	0	0.0647296	0.93527	237	6952	237	6952
Multi-Family with 2 - 4 Units	AR, 01400	Vacant	1	0	0	25	822	25	822
Multi-Family with 5+ Units	AR, 01400	Occupied	0	0.00376966	0.99623	268	7693	268	7693
Multi-Family with 5+ Units	AR, 01400	Vacant	1	0	0	29	1220	29	1220
Single-Family Attached	AR, 01400	Occupied	0	0.446438	0.553562	76	1839	76	1839
Single-Family Attached	AR, 01400	Vacant	1	0	0	3	75	894	25835
Single-Family Detached	AR, 01400	Occupied	0	0.793339	0.206661	2597	54674	2597	54674
Single-Family Detached	AR, 01400	Vacant	1	0	0	173	5493	173	5493
Mobile Home	AR, 01500	Occupied	0	0.675242	0.324758	408	6297	408	6297
Mobile Home	AR, 01500	Vacant	1	0	0	81	1692	81	1692
Multi-Family with 2 - 4 Units	AR, 01500	Occupied	0	0.034761	0.965239	106	1611	106	1611
Multi-Family with 2 - 4 Units	AR, 01500	Vacant	1	0	0	12	388	12	388
Multi-Family with 5+ Units	AR, 01500	Occupied	0	0.0318143	0.968186	56	1163	56	1163
Multi-Family with 5+ Units	AR, 01500	Vacant	1	0	0	9	255	1476	44058
Single-Family Attached	AR, 01500	Occupied	0	0.55418	0.44582	26	323	26	323
Single-Family Attached	AR, 01500	Vacant	1	0	0	2	57	363	7116
Single-Family Detached	AR, 01500	Occupied	0	0.809924	0.190076	1935	28941	1935	28941
Single-Family Detached	AR, 01500	Vacant	1	0	0	252	6099	252	6099
Mobile Home	AR, 01600	Occupied	0	0.725241	0.274759	504	9976	504	9976
Mobile Home	AR, 01600	Vacant	1	0	0	87	2968	87	2968
Multi-Family with 2 - 4 Units	AR, 01600	Occupied	0	0.231821	0.768179	141	3658	141	3658
Multi-Family with 2 - 4 Units	AR, 01600	Vacant	1	0	0	46	1866	46	1866
Multi-Family with 5+ Units	AR, 01600	Occupied	0	0.0417936	0.958206	229	5910	229	5910
Multi-Family with 5+ Units	AR, 01600	Vacant	1	0	0	43	1747	43	1747
Single-Family Attached	AR, 01600	Occupied	0	0.583948	0.416052	51	1084	51	1084
Single-Family Attached	AR, 01600	Vacant	1	0	0	10	353	10	353
Single-Family Detached	AR, 01600	Occupied	0	0.804326	0.195674	2313	44380	2313	44380
Single-Family Detached	AR, 01600	Vacant	1	0	0	286	9817	286	9817
Mobile Home	AR, 01700	Occupied	0	0.761128	0.238872	313	5212	313	5212
Mobile Home	AR, 01700	Vacant	1	0	0	62	1803	62	1803
Multi-Family with 2 - 4 Units	AR, 01700	Occupied	0	0.0308972	0.969103	73	1683	73	1683
Multi-Family with 2 - 4 Units	AR, 01700	Vacant	1	0	0	16	407	16	407
Multi-Family with 5+ Units	AR, 01700	Occupied	0	0.00808766	0.991912	129	3833	129	3833
Multi-Family with 5+ Units	AR, 01700	Vacant	1	0	0	18	627	18	627
Single-Family Attached	AR, 01700	Occupied	0	0.419558	0.580442	15	317	15	317
Single-Family Attached	AR, 01700	Vacant	1	0	0	4	169	363	7116
Single-Family Detached	AR, 01700	Occupied	0	0.753486	0.246514	1522	26968	1522	26968
Single-Family Detached	AR, 01700	Vacant	1	0	0	203	5589	203	5589
Mobile Home	AR, 01800	Occupied	0	0.762698	0.237302	553	8525	553	8525
Mobile Home	AR, 01800	Vacant	1	0	0	150	3276	150	3276
Multi-Family with 2 - 4 Units	AR, 01800	Occupied	0	0.0262634	0.973737	125	2513	125	2513
Multi-Family with 2 - 4 Units	AR, 01800	Vacant	1	0	0	32	372	32	372
Multi-Family with 5+ Units	AR, 01800	Occupied	0	0.0187354	0.981265	64	1281	64	1281
Multi-Family with 5+ Units	AR, 01800	Vacant	1	0	0	23	463	23	463
Single-Family Attached	AR, 01800	Occupied	0	0.286822	0.713178	18	258	18	258
Single-Family Attached	AR, 01800	Vacant	1	0	0	2	14	363	7116
Single-Family Detached	AR, 01800	Occupied	0	0.769313	0.230687	1782	26161	1782	26161
Single-Family Detached	AR, 01800	Vacant	1	0	0	338	6858	338	6858
Mobile Home	AR, 01900	Occupied	0	0.818792	0.181208	380	6705	380	6705
Mobile Home	AR, 01900	Vacant	1	0	0	147	3245	147	3245
Multi-Family with 2 - 4 Units	AR, 01900	Occupied	0	0.0243161	0.975684	91	1974	91	1974
Multi-Family with 2 - 4 Units	AR, 01900	Vacant	1	0	0	11	456	11	456
Multi-Family with 5+ Units	AR, 01900	Occupied	0	0	1	71	2078	71	2078
Multi-Family with 5+ Units	AR, 01900	Vacant	1	0	0	12	480	12	480
Single-Family Attached	AR, 01900	Occupied	0	0.264706	0.735294	11	102	11	102
Single-Family Attached	AR, 01900	Vacant	1	0	0	0	0	363	7116
Single-Family Detached	AR, 01900	Occupied	0	0.804701	0.195299	1619	27906	1619	27906
Single-Family Detached	AR, 01900	Vacant	1	0	0	354	9121	354	9121
Mobile Home	AR, 02000	Occupied	0	0.740959	0.259041	412	6277	412	6277
Mobile Home	AR, 02000	Vacant	1	0	0	105	2421	105	2421
Multi-Family with 2 - 4 Units	AR, 02000	Occupied	0	0.00915751	0.990842	103	2184	103	2184
Multi-Family with 2 - 4 Units	AR, 02000	Vacant	1	0	0	16	650	16	650
Multi-Family with 5+ Units	AR, 02000	Occupied	0	0.00763106	0.992369	133	3014	133	3014
Multi-Family with 5+ Units	AR, 02000	Vacant	1	0	0	21	734	21	734
Single-Family Attached	AR, 02000	Occupied	0	0.383562	0.616438	16	219	16	219
Single-Family Attached	AR, 02000	Vacant	1	0	0	0	0	363	7116
Single-Family Detached	AR, 02000	Occupied	0	0.778456	0.221544	1803	28649	1803	28649
Single-Family Detached	AR, 02000	Vacant	1	0	0	311	7103	311	7103
Mobile Home	AZ, 00100	Occupied	0	0.793413	0.206587	16	334	16	334
Mobile Home	AZ, 00100	Vacant	1	0	0	2	92	78	3023
Multi-Family with 2 - 4 Units	AZ, 00100	Occupied	0	0.128378	0.871622	15	296	15	296
Multi-Family with 2 - 4 Units	AZ, 00100	Vacant	1	0	0	0	0	1145	40992
Multi-Family with 5+ Units	AZ, 00100	Occupied	0	0.0254557	0.974544	121	3182	121	3182
Multi-Family with 5+ Units	AZ, 00100	Vacant	1	0	0	7	404	4193	145418
Single-Family Attached	AZ, 00100	Occupied	0	0.496255	0.503745	25	534	25	534
Single-Family Attached	AZ, 00100	Vacant	1	0	0	0	0	992	33165
Single-Family Detached	AZ, 00100	Occupied	0	0.858526	0.141474	2122	42969	2122	42969
Single-Family Detached	AZ, 00100	Vacant	1	0	0	76	2931	76	2931
Mobile Home	AZ, 00101	Occupied	0	0.828275	0.171725	730	11268	730	11268
Mobile Home	AZ, 00101	Vacant	1	0	0	229	5934	229	5934
Multi-Family with 2 - 4 Units	AZ, 00101	Occupied	0	0.310897	0.689103	53	936	53	936
Multi-Family with 2 - 4 Units	AZ, 00101	Vacant	1	0	0	7	198	1145	40992
Multi-Family with 5+ Units	AZ, 00101	Occupied	0	0.0602674	0.939733	220	4563	220	4563
Multi-Family with 5+ Units	AZ, 00101	Vacant	1	0	0	28	1094	28	1094
Single-Family Attached	AZ, 00101	Occupied	0	0.863578	0.136422	145	2353	145	2353
Single-Family Attached	AZ, 00101	Vacant	1	0	0	44	1379	44	1379
Single-Family Detached	AZ, 00101	Occupied	0	0.82735	0.17265	2384	43510	2384	43510
Single-Family Detached	AZ, 00101	Vacant	1	0	0	192	6374	192	6374
Mobile Home	AZ, 00102	Occupied	0	0.769754	0.230246	190	3379	190	3379
Mobile Home	AZ, 00102	Vacant	1	0	0	34	1173	34	1173
Multi-Family with 2 - 4 Units	AZ, 00102	Occupied	0	0.0672484	0.932752	196	4699	196	4699
Multi-Family with 2 - 4 Units	AZ, 00102	Vacant	1	0	0	12	347	12	347
Multi-Family with 5+ Units	AZ, 00102	Occupied	0	0.0863449	0.913655	385	8246	385	8246
Multi-Family with 5+ Units	AZ, 00102	Vacant	1	0	0	35	1190	35	1190
Single-Family Attached	AZ, 00102	Occupied	0	0.620621	0.379379	205	3540	205	3540
Single-Family Attached	AZ, 00102	Vacant	1	0	0	22	728	22	728
Single-Family Detached	AZ, 00102	Occupied	0	0.837812	0.162188	2096	32968	2096	32968
Single-Family Detached	AZ, 00102	Vacant	1	0	0	78	2341	78	2341
Mobile Home	AZ, 00103	Occupied	0	0.726206	0.273794	73	1534	73	1534
Mobile Home	AZ, 00103	Vacant	1	0	0	7	268	38	1245
Multi-Family with 2 - 4 Units	AZ, 00103	Occupied	0	0.0885106	0.911489	201	4700	201	4700
Multi-Family with 2 - 4 Units	AZ, 00103	Vacant	1	0	0	12	445	12	445
Multi-Family with 5+ Units	AZ, 00103	Occupied	0	0.051355	0.948645	691	15461	691	15461
Multi-Family with 5+ Units	AZ, 00103	Vacant	1	0	0	71	2405	71	2405
Single-Family Attached	AZ, 00103	Occupied	0	0.451316	0.548684	128	2280	128	2280
Single-Family Attached	AZ, 00103	Vacant	1	0	0	3	137	154	5076
Single-Family Detached	AZ, 00103	Occupied	0	0.742892	0.257108	1097	18218	1097	18218
Single-Family Detached	AZ, 00103	Vacant	1	0	0	31	977	31	977
Mobile Home	AZ, 00104	Occupied	0	0.897271	0.102729	520	8391	520	8391
Mobile Home	AZ, 00104	Vacant	1	0	0	202	6355	202	6355
Multi-Family with 2 - 4 Units	AZ, 00104	Occupied	0	0.0976431	0.902357	95	2079	95	2079
