	field	enumeration	enumeration_description
625	in.city	IL, Chicago	
626	in.city	IL, Cicero	
627	in.city	IL, Crystal Lake	
628	in.city	IL, Decatur	
629	in.city	IL, Dekalb	
630	in.city	IL, Des Plaines	
631	in.city	IL, Downers Grove	
632	in.city	IL, Elgin	
633	in.city	IL, Elmhurst	
634	in.city	IL, Evanston	
635	in.city	IL, Glenview	
636	in.city	IL, Hoffman Estates	
637	in.city	IL, Joliet	
638	in.city	IL, Lombard	
639	in.city	IL, Moline	
640	in.city	IL, Mount Prospect	
641	in.city	IL, Naperville	
642	in.city	IL, Normal	
643	in.city	IL, Oak Lawn	
644	in.city	IL, Oak Park	
645	in.city	IL, Orland Park	
646	in.city	IL, Palatine	
647	in.city	IL, Peoria	
648	in.city	IL, Quincy	
649	in.city	IL, Rock Island	
650	in.city	IL, Rockford	
651	in.city	IL, Schaumburg	
652	in.city	IL, Skokie	
653	in.city	IL, Springfield	
654	in.city	IL, Tinley Park	
655	in.city	IL, Urbana	
656	in.city	IL, Waukegan	
657	in.city	IL, Wheaton	
658	in.city	IL, Wheeling	
659	in.city	IN, Anderson	
660	in.city	IN, Bloomington	
661	in.city	IN, Carmel	
662	in.city	IN, Columbus	
663	in.city	IN, Elkhart	
664	in.city	IN, Evansville	
665	in.city	IN, Fishers	
666	in.city	IN, Fort Wayne	
667	in.city	IN, Gary	
668	in.city	IN, Greenwood	
669	in.city	IN, Hammond	
670	in.city	IN, Indianapolis City Balance	
671	in.city	IN, Jeffersonville	
672	in.city	IN, Kokomo	
673	in.city	IN, Lafayette	
674	in.city	IN, Lawrence	
675	in.city	IN, Mishawaka	
676	in.city	IN, Muncie	
677	in.city	IN, New Albany	
678	in.city	IN, Noblesville	
679	in.city	IN, Portage	
680	in.city	IN, Richmond	
681	in.city	IN, South Bend	
682	in.city	IN, Terre Haute	
683	in.city	In another census Place	
684	in.city	KS, Hutchinson	
685	in.city	KS, Kansas City	
686	in.city	KS, Lawrence	
687	in.city	KS, Lenexa	
688	in.city	KS, Manhattan	
689	in.city	KS, Olathe	
690	in.city	KS, Overland Park	
691	in.city	KS, Salina	
692	in.city	KS, Shawnee	
693	in.city	KS, Topeka	
694	in.city	KS, Wichita	
695	in.city	KY, Bowling Green	
696	in.city	KY, Covington	
697	in.city	KY, Lexington-Fayette	
698	in.city	KY, Louisville Jefferson County Metro Government Balance	
699	in.city	KY, Owensboro	
700	in.city	LA, Alexandria	
701	in.city	LA, Baton Rouge	
702	in.city	LA, Bossier City	
703	in.city	LA, Kenner	
704	in.city	LA, Lafayette	
705	in.city	LA, Lake Charles	
706	in.city	LA, Metairie	
707	in.city	LA, Monroe	
708	in.city	LA, New Orleans	
709	in.city	LA, Shreveport	
710	in.city	MA, Arlington	
711	in.city	MA, Attleboro	
712	in.city	MA, Barnstable Town	
713	in.city	MA, Beverly	
714	in.city	MA, Boston	
715	in.city	MA, Brockton	
716	in.city	MA, Brookline	
717	in.city	MA, Cambridge	
718	in.city	MA, Chicopee	
719	in.city	MA, Everett	
720	in.city	MA, Fall River	
721	in.city	MA, Fitchburg	
722	in.city	MA, Framingham	
723	in.city	MA, Haverhill	
724	in.city	MA, Holyoke	
725	in.city	MA, Lawrence	
726	in.city	MA, Leominster	
727	in.city	MA, Lowell	
728	in.city	MA, Lynn	
729	in.city	MA, Malden	
730	in.city	MA, Marlborough	
731	in.city	MA, Medford	
732	in.city	MA, Methuen Town	
733	in.city	MA, New Bedford	
734	in.city	MA, Newton	
735	in.city	MA, Peabody	
736	in.city	MA, Pittsfield	
737	in.city	MA, Quincy	
738	in.city	MA, Revere	
739	in.city	MA, Salem	
740	in.city	MA, Somerville	
741	in.city	MA, Springfield	
742	in.city	MA, Taunton	
743	in.city	MA, Waltham	
744	in.city	MA, Watertown Town	
745	in.city	MA, Westfield	
746	in.city	MA, Weymouth Town	
747	in.city	MA, Woburn	
748	in.city	MA, Worcester	
749	in.city	MD, Annapolis	
750	in.city	MD, Aspen Hill	
751	in.city	MD, Baltimore	
752	in.city	MD, Bel Air South	
753	in.city	MD, Bethesda	
754	in.city	MD, Bowie	
755	in.city	MD, Catonsville	
756	in.city	MD, Columbia	
757	in.city	MD, Dundalk	
758	in.city	MD, Ellicott City	
759	in.city	MD, Essex	
760	in.city	MD, Frederick	
761	in.city	MD, Gaithersburg	
762	in.city	MD, Germantown	
763	in.city	MD, Glen Burnie	
764	in.city	MD, Hagerstown	
765	in.city	MD, North Bethesda	
766	in.city	MD, Ocean City	
767	in.city	MD, Odenton	
768	in.city	MD, Potomac	
769	in.city	MD, Rockville	
770	in.city	MD, Severn	
771	in.city	MD, Silver Spring	
772	in.city	MD, Towson	
773	in.city	MD, Waldorf	
774	in.city	MD, Wheaton	
775	in.city	MD, Woodlawn	
776	in.city	ME, Bangor	
777	in.city	ME, Lewiston	
778	in.city	ME, Portland	
779	in.city	MI, Ann Arbor	
780	in.city	MI, Battle Creek	
781	in.city	MI, Bay City	
782	in.city	MI, Dearborn	
783	in.city	MI, Dearborn Heights	
784	in.city	MI, Detroit	
785	in.city	MI, Farmington Hills	
786	in.city	MI, Flint	
787	in.city	MI, Grand Rapids	
788	in.city	MI, Jackson	
789	in.city	MI, Kalamazoo	
790	in.city	MI, Kentwood	
791	in.city	MI, Lansing	
792	in.city	MI, Lincoln Park	
793	in.city	MI, Livonia	
794	in.city	MI, Midland	
795	in.city	MI, Muskegon	
796	in.city	MI, Novi	
797	in.city	MI, Pontiac	
798	in.city	MI, Portage	
799	in.city	MI, Rochester Hills	
800	in.city	MI, Roseville	
801	in.city	MI, Royal Oak	
802	in.city	MI, Saginaw	
803	in.city	MI, Southfield	
804	in.city	MI, St Clair Shores	
805	in.city	MI, Sterling Heights	
806	in.city	MI, Taylor	
807	in.city	MI, Troy	
808	in.city	MI, Warren	
809	in.city	MI, Westland	
810	in.city	MI, Wyoming	
811	in.city	MN, Apple Valley	
812	in.city	MN, Blaine	
813	in.city	MN, Bloomington	
814	in.city	MN, Brooklyn Park	
815	in.city	MN, Burnsville	
816	in.city	MN, Coon Rapids	
817	in.city	MN, Duluth	
818	in.city	MN, Eagan	
819	in.city	MN, Eden Prairie	
820	in.city	MN, Edina	
821	in.city	MN, Lakeville	
822	in.city	MN, Mankato	
823	in.city	MN, Maple Grove	
824	in.city	MN, Maplewood	
825	in.city	MN, Minneapolis	
826	in.city	MN, Minnetonka	
827	in.city	MN, Moorhead	
828	in.city	MN, Plymouth	
829	in.city	MN, Richfield	
830	in.city	MN, Rochester	
831	in.city	MN, Roseville	
832	in.city	MN, St Cloud	
833	in.city	MN, St Louis Park	
834	in.city	MN, St Paul	
835	in.city	MN, Woodbury	
836	in.city	MO, Blue Springs	
837	in.city	MO, Cape Girardeau	
838	in.city	MO, Chesterfield	
839	in.city	MO, Columbia	
840	in.city	MO, Florissant	
841	in.city	MO, Independence	
842	in.city	MO, Jefferson City	
843	in.city	MO, Joplin	
844	in.city	MO, Kansas City	
845	in.city	MO, Lees Summit	
846	in.city	MO, Ofallon	
847	in.city	MO, Springfield	
848	in.city	MO, St Charles	
849	in.city	MO, St Joseph	
850	in.city	MO, St Louis	
851	in.city	MO, St Peters	
852	in.city	MO, University City	
853	in.city	MS, Biloxi	
854	in.city	MS, Gulfport	
855	in.city	MS, Hattiesburg	
856	in.city	MS, Jackson	
857	in.city	MS, Meridian	
858	in.city	MS, Southaven	
859	in.city	MS, Tupelo	
860	in.city	MT, Billings	
861	in.city	MT, Bozeman	
862	in.city	MT, Butte-Silver Bow Balance	
863	in.city	MT, Great Falls	
864	in.city	MT, Missoula	
865	in.city	NC, Asheville	
866	in.city	NC, Burlington	
867	in.city	NC, Cary	
868	in.city	NC, Chapel Hill	
869	in.city	NC, Charlotte	
870	in.city	NC, Concord	
871	in.city	NC, Durham	
872	in.city	NC, Fayetteville	
873	in.city	NC, Gastonia	
874	in.city	NC, Goldsboro	
875	in.city	NC, Greensboro	
876	in.city	NC, Greenville	
877	in.city	NC, Hickory	
878	in.city	NC, High Point	
879	in.city	NC, Huntersville	
880	in.city	NC, Jacksonville	
881	in.city	NC, Kannapolis	
882	in.city	NC, Raleigh	
883	in.city	NC, Rocky Mount	
884	in.city	NC, Wilmington	
885	in.city	NC, Wilson	
886	in.city	NC, Winston-Salem	
887	in.city	ND, Bismarck	
888	in.city	ND, Fargo	
889	in.city	ND, Grand Forks	
890	in.city	ND, Minot	
891	in.city	NE, Bellevue	
892	in.city	NE, Grand Island	
893	in.city	NE, Lincoln	
894	in.city	NE, Omaha	
895	in.city	NH, Concord	
896	in.city	NH, Manchester	
897	in.city	NH, Nashua	
898	in.city	NJ, Atlantic City	
899	in.city	NJ, Bayonne	
900	in.city	NJ, Camden	
901	in.city	NJ, Clifton	
902	in.city	NJ, East Orange	
903	in.city	NJ, Elizabeth	
904	in.city	NJ, Fort Lee	
905	in.city	NJ, Hackensack	
906	in.city	NJ, Hoboken	
907	in.city	NJ, Jersey City	
908	in.city	NJ, Linden	
909	in.city	NJ, New Brunswick	
910	in.city	NJ, Newark	
911	in.city	NJ, Ocean City	
912	in.city	NJ, Passaic	
913	in.city	NJ, Paterson	
914	in.city	NJ, Perth Amboy	
915	in.city	NJ, Plainfield	
916	in.city	NJ, Sayreville	
917	in.city	NJ, Toms River	
918	in.city	NJ, Trenton	
919	in.city	NJ, Union City	
920	in.city	NJ, Vineland	
921	in.city	NJ, West New York	
922	in.city	NM, Albuquerque	
923	in.city	NM, Clovis	
924	in.city	NM, Farmington	
925	in.city	NM, Las Cruces	
926	in.city	NM, Rio Rancho	
927	in.city	NM, Roswell	
928	in.city	NM, Santa Fe	
929	in.city	NM, South Valley	
930	in.city	NV, Carson City	
931	in.city	NV, Enterprise	
932	in.city	NV, Henderson	
933	in.city	NV, Las Vegas	
934	in.city	NV, North Las Vegas	
935	in.city	NV, Pahrump	
936	in.city	NV, Paradise	
937	in.city	NV, Reno	
938	in.city	NV, Sparks	
939	in.city	NV, Spring Valley	
940	in.city	NV, Sunrise Manor	
941	in.city	NV, Whitney	
942	in.city	NY, Albany	
943	in.city	NY, Binghamton	
944	in.city	NY, Brighton	
945	in.city	NY, Buffalo	
946	in.city	NY, Cheektowaga	
947	in.city	NY, Coram	
948	in.city	NY, Hempstead	
949	in.city	NY, Irondequoit	
950	in.city	NY, Levittown	
951	in.city	NY, Long Beach	
952	in.city	NY, Mount Vernon	
953	in.city	NY, New Rochelle	
954	in.city	NY, New York	
955	in.city	NY, Niagara Falls	
956	in.city	NY, Rochester	
957	in.city	NY, Rome	
958	in.city	NY, Schenectady	
959	in.city	NY, Syracuse	
960	in.city	NY, Tonawanda	
961	in.city	NY, Troy	
962	in.city	NY, Utica	
963	in.city	NY, West Seneca	
964	in.city	NY, White Plains	
965	in.city	NY, Yonkers	
966	in.city	Not in a census Place	
967	in.city	OH, Akron	
968	in.city	OH, Beavercreek	
969	in.city	OH, Boardman	
970	in.city	OH, Canton	
971	in.city	OH, Cincinnati	
972	in.city	OH, Cleveland	
973	in.city	OH, Cleveland Heights	
974	in.city	OH, Columbus	
975	in.city	OH, Cuyahoga Falls	
976	in.city	OH, Dayton	
977	in.city	OH, Delaware	
978	in.city	OH, Dublin	
979	in.city	OH, Elyria	
980	in.city	OH, Euclid	
981	in.city	OH, Fairborn	
982	in.city	OH, Fairfield	
983	in.city	OH, Findlay	
984	in.city	OH, Grove City	
985	in.city	OH, Hamilton	
986	in.city	OH, Huber Heights	
987	in.city	OH, Kettering	
988	in.city	OH, Lakewood	
989	in.city	OH, Lancaster	
990	in.city	OH, Lima	
991	in.city	OH, Lorain	
992	in.city	OH, Mansfield	
993	in.city	OH, Marion	
994	in.city	OH, Mentor	
995	in.city	OH, Middletown	
996	in.city	OH, Newark	
997	in.city	OH, Parma	
998	in.city	OH, Springfield	
999	in.city	OH, Stow	
1000	in.city	OH, Strongsville	
1001	in.city	OH, Toledo	
1002	in.city	OH, Warren	
1003	in.city	OH, Youngstown	
1004	in.city	OK, Bartlesville	
1005	in.city	OK, Broken Arrow	
1006	in.city	OK, Edmond	
1007	in.city	OK, Enid	
1008	in.city	OK, Lawton	
1009	in.city	OK, Midwest City	
1010	in.city	OK, Moore	
1011	in.city	OK, Muskogee	
1012	in.city	OK, Norman	
1013	in.city	OK, Oklahoma City	
1014	in.city	OK, Stillwater	
1015	in.city	OK, Tulsa	
1016	in.city	OR, Albany	
1017	in.city	OR, Aloha	
1018	in.city	OR, Beaverton	
1019	in.city	OR, Bend	
1020	in.city	OR, Corvallis	
1021	in.city	OR, Eugene	
1022	in.city	OR, Grants Pass	
1023	in.city	OR, Gresham	
1024	in.city	OR, Hillsboro	
1025	in.city	OR, Lake Oswego	
1026	in.city	OR, Medford	
1027	in.city	OR, Portland	
1028	in.city	OR, Salem	
1029	in.city	OR, Springfield	
1030	in.city	OR, Tigard	
1031	in.city	PA, Allentown	
1032	in.city	PA, Altoona	
1033	in.city	PA, Bethlehem	
1034	in.city	PA, Erie	
1035	in.city	PA, Harrisburg	
1036	in.city	PA, Lancaster	
1037	in.city	PA, Levittown	
1038	in.city	PA, Philadelphia	
1039	in.city	PA, Pittsburgh	
1040	in.city	PA, Reading	
1041	in.city	PA, Scranton	
1042	in.city	PA, Wilkes-Barre	
1043	in.city	PA, York	
1044	in.city	RI, Cranston	
1045	in.city	RI, East Providence	
1046	in.city	RI, Pawtucket	
1047	in.city	RI, Providence	
1048	in.city	RI, Warwick	
1049	in.city	RI, Woonsocket	
1050	in.city	SC, Charleston	
1051	in.city	SC, Columbia	
1052	in.city	SC, Florence	
1053	in.city	SC, Goose Creek	
1054	in.city	SC, Greenville	
1055	in.city	SC, Hilton Head Island	
1056	in.city	SC, Mount Pleasant	
1057	in.city	SC, Myrtle Beach	
1058	in.city	SC, North Charleston	
1059	in.city	SC, North Myrtle Beach	
1060	in.city	SC, Rock Hill	
1061	in.city	SC, Spartanburg	
1062	in.city	SC, Summerville	
1063	in.city	SC, Sumter	
1064	in.city	SD, Rapid City	
1065	in.city	SD, Sioux Falls	
1066	in.city	TN, Bartlett	
1067	in.city	TN, Chattanooga	
1068	in.city	TN, Clarksville	
1069	in.city	TN, Cleveland	
1070	in.city	TN, Collierville	
1071	in.city	TN, Columbia	
1072	in.city	TN, Franklin	
1073	in.city	TN, Germantown	
1074	in.city	TN, Hendersonville	
1075	in.city	TN, Jackson	
1076	in.city	TN, Johnson City	
1077	in.city	TN, Kingsport	
1078	in.city	TN, Knoxville	
1079	in.city	TN, Memphis	
1080	in.city	TN, Murfreesboro	
1081	in.city	TN, Nashville-Davidson Metropolitan Government Balance	
1082	in.city	TN, Smyrna	
1083	in.city	TX, Abilene	
1084	in.city	TX, Allen	
1085	in.city	TX, Amarillo	
1086	in.city	TX, Arlington	
1087	in.city	TX, Atascocita	
1088	in.city	TX, Austin	
1089	in.city	TX, Baytown	
1090	in.city	TX, Beaumont	
1091	in.city	TX, Bedford	
1092	in.city	TX, Brownsville	
1093	in.city	TX, Bryan	
1094	in.city	TX, Burleson	
1095	in.city	TX, Carrollton	
1096	in.city	TX, Cedar Hill	
1097	in.city	TX, Cedar Park	
1098	in.city	TX, College Station	
1099	in.city	TX, Conroe	
1100	in.city	TX, Coppell	
1101	in.city	TX, Corpus Christi	
1102	in.city	TX, Dallas	
1103	in.city	TX, Denton	
1104	in.city	TX, Desoto	
1105	in.city	TX, Edinburg	
1106	in.city	TX, El Paso	
1107	in.city	TX, Euless	
1108	in.city	TX, Flower Mound	
1109	in.city	TX, Fort Worth	
1110	in.city	TX, Frisco	
1111	in.city	TX, Galveston	
1112	in.city	TX, Garland	
1113	in.city	TX, Georgetown	
1114	in.city	TX, Grand Prairie	
1115	in.city	TX, Grapevine	
1116	in.city	TX, Haltom City	
1117	in.city	TX, Harlingen	
1118	in.city	TX, Houston	
1119	in.city	TX, Hurst	
1120	in.city	TX, Irving	
1121	in.city	TX, Keller	
1122	in.city	TX, Killeen	
1123	in.city	TX, Laredo	
1124	in.city	TX, League City	
1125	in.city	TX, Lewisville	
1126	in.city	TX, Longview	
1127	in.city	TX, Lubbock	
1128	in.city	TX, Lufkin	
1129	in.city	TX, Mansfield	
1130	in.city	TX, Mcallen	
1131	in.city	TX, Mckinney	
1132	in.city	TX, Mesquite	
1133	in.city	TX, Midland	
1134	in.city	TX, Mission	
1135	in.city	TX, Missouri City	
1136	in.city	TX, New Braunfels	
1137	in.city	TX, North Richland Hills	
1138	in.city	TX, Odessa	
1139	in.city	TX, Pasadena	
1140	in.city	TX, Pearland	
1141	in.city	TX, Pflugerville	
1142	in.city	TX, Pharr	
1143	in.city	TX, Plano	
1144	in.city	TX, Port Arthur	
1145	in.city	TX, Richardson	
1146	in.city	TX, Round Rock	
1147	in.city	TX, Rowlett	
1148	in.city	TX, San Angelo	
1149	in.city	TX, San Antonio	
1150	in.city	TX, San Marcos	
1151	in.city	TX, Sherman	
1152	in.city	TX, Spring	
1153	in.city	TX, Sugar Land	
1154	in.city	TX, Temple	
1155	in.city	TX, Texarkana	
1156	in.city	TX, Texas City	
1157	in.city	TX, The Colony	
1158	in.city	TX, The Woodlands	
1159	in.city	TX, Tyler	
1160	in.city	TX, Victoria	
1161	in.city	TX, Waco	
1162	in.city	TX, Wichita Falls	
1163	in.city	TX, Wylie	
1164	in.city	UT, Layton	
1165	in.city	UT, Lehi	
1166	in.city	UT, Logan	
1167	in.city	UT, Millcreek	
1168	in.city	UT, Murray	
1169	in.city	UT, Ogden	
1170	in.city	UT, Orem	
1171	in.city	UT, Provo	
1172	in.city	UT, Salt Lake City	
1173	in.city	UT, Sandy	
1174	in.city	UT, South Jordan	
1175	in.city	UT, St George	
1176	in.city	UT, Taylorsville	
1177	in.city	UT, West Jordan	
1178	in.city	UT, West Valley City	
1179	in.city	VA, Alexandria	
1180	in.city	VA, Arlington	
1181	in.city	VA, Ashburn	
1182	in.city	VA, Blacksburg	
1183	in.city	VA, Centreville	
1184	in.city	VA, Charlottesville	
1185	in.city	VA, Chesapeake	
1186	in.city	VA, Dale City	
1187	in.city	VA, Danville	
1188	in.city	VA, Hampton	
1189	in.city	VA, Harrisonburg	
1190	in.city	VA, Lake Ridge	
1191	in.city	VA, Leesburg	
1192	in.city	VA, Lynchburg	
1193	in.city	VA, Mclean	
1194	in.city	VA, Mechanicsville	
1195	in.city	VA, Newport News	
1196	in.city	VA, Norfolk	
1197	in.city	VA, Petersburg	
1198	in.city	VA, Portsmouth	
1199	in.city	VA, Reston	
1200	in.city	VA, Richmond	
1201	in.city	VA, Roanoke	
1202	in.city	VA, Suffolk	
1203	in.city	VA, Tuckahoe	
1204	in.city	VA, Virginia Beach	
1205	in.city	VT, Burlington	
1206	in.city	WA, Auburn	
1207	in.city	WA, Bellevue	
1208	in.city	WA, Bellingham	
1209	in.city	WA, Bremerton	
1210	in.city	WA, Edmonds	
1211	in.city	WA, Everett	
1212	in.city	WA, Federal Way	
1213	in.city	WA, Kennewick	
1214	in.city	WA, Kent	
1215	in.city	WA, Kirkland	
1216	in.city	WA, Lacey	
1217	in.city	WA, Lakewood	
1218	in.city	WA, Longview	
1219	in.city	WA, Marysville	
1220	in.city	WA, Olympia	
1221	in.city	WA, Pasco	
1222	in.city	WA, Puyallup	
1223	in.city	WA, Redmond	
1224	in.city	WA, Renton	
1225	in.city	WA, Richland	
1226	in.city	WA, Sammamish	
1227	in.city	WA, Seattle	
1228	in.city	WA, Shoreline	
1229	in.city	WA, South Hill	
1230	in.city	WA, Spokane	
1231	in.city	WA, Spokane Valley	
1232	in.city	WA, Tacoma	
1233	in.city	WA, Vancouver	
1234	in.city	WA, Yakima	
1235	in.city	WI, Appleton	
1236	in.city	WI, Beloit	
1237	in.city	WI, Eau Claire	
1238	in.city	WI, Fond Du Lac	
1239	in.city	WI, Green Bay	
1240	in.city	WI, Greenfield	
1241	in.city	WI, Janesville	
1242	in.city	WI, Kenosha	
1243	in.city	WI, La Crosse	
1244	in.city	WI, Madison	
1245	in.city	WI, Manitowoc	
1246	in.city	WI, Menomonee Falls	
1247	in.city	WI, Milwaukee	
1248	in.city	WI, New Berlin	
1249	in.city	WI, Oshkosh	
1250	in.city	WI, Racine	
1251	in.city	WI, Sheboygan	
1252	in.city	WI, Waukesha	
1253	in.city	WI, Wausau	
1254	in.city	WI, Wauwatosa	
1255	in.city	WI, West Allis	
1256	in.city	WV, Charleston	
1257	in.city	WV, Huntington	
1258	in.city	WV, Parkersburg	
1259	in.city	WY, Casper	
1260	in.city	WY, Cheyenne	
1261	in.clothes_dryer	Electric, 100% Usage	Standard efficiency electric clothes dryer (2.7 CEF) with usage at 100% the national average
1262	in.clothes_dryer	Electric, 120% Usage	Standard efficiency electric clothes dryer (2.7 CEF) with usage at 120% the national average
1263	in.clothes_dryer	Electric, 80% Usage	Standard efficiency electric clothes dryer (2.7 CEF) with usage at 80% the national average
1264	in.clothes_dryer	Gas, 100% Usage	Standard efficiency gas clothes dryer (2.39 CEF) with usage at 100% the national average
1265	in.clothes_dryer	Gas, 120% Usage	Standard efficiency gas clothes dryer (2.39 CEF) with usage at 120% the national average
1266	in.clothes_dryer	Gas, 80% Usage	Standard efficiency gas clothes dryer (2.39 CEF) with usage at 80% the national average
1267	in.clothes_dryer	None	No clothes dryer
1268	in.clothes_dryer	Propane, 100% Usage	Standard efficiency propane clothes dryer (2.39 CEF) with usage at 100% the national average
1269	in.clothes_dryer	Propane, 120% Usage	Standard efficiency propane clothes dryer (2.39 CEF) with usage at 120% the national average
1270	in.clothes_dryer	Propane, 80% Usage	Standard efficiency propane clothes dryer (2.39 CEF) with usage at 80% the national average
1271	in.clothes_washer	EnergyStar, 100% Usage	EnergyStar clothes washer (2.07 IMEF) with usage at 100% the national average
1272	in.clothes_washer	EnergyStar, 120% Usage	EnergyStar clothes washer (2.07 IMEF) with usage at 120% the national average
1273	in.clothes_washer	EnergyStar, 80% Usage	EnergyStar clothes washer (2.07 IMEF) with usage at 80% the national average
